Hole#,Depth m (Top of tool),Depth m (Center of tool),Date,Time,Dip,Azimuth,SAg,Temp,Gx,Gy,Gz,G-Total,Wt,Northing,Easting,Elev,CD,CBrg,DLeg,Quality,SerNum
Run Down,,,,,,,,,,,,,,,,,,,,,
cs_AMU_gyro,0,1.55,11/3/2021,14:46:35,-8.36,100.4,218.79,23.97,-238.8,956.5,144.4,996.4,13.853,0,0,0,0,0,0, ref,13179
cs_AMU_gyro,5,6.55,11/3/2021,14:51:02,-8.2,100.53,177.08,24.57,-985.7,-14.6,142,996,10.688,-0.8986,4.8656,-0.7201,4.9479,100.464,1.2386, ,13179
cs_AMU_gyro,10,11.55,11/3/2021,14:53:04,-8.05,100.46,177.08,24.88,-986.9,-10,139.6,996.8,10.688,-1.8001,9.7326,-1.4269,9.8977,100.479,0.9592, ,13179
cs_AMU_gyro,15,16.55,11/3/2021,14:55:00,-7.8,100.4,177.08,25.48,-986.9,-10.4,135.2,996.1,10.688,-2.6966,14.603,-2.1164,14.8499,100.4623,1.5796, ,13179
cs_AMU_gyro,20,21.55,11/3/2021,14:56:37,-7.58,100.4,177.08,25.48,-987,-16.3,131.3,995.8,10.688,-3.591,19.4767,-2.7852,19.8049,100.4465,1.3261, ,13179
cs_AMU_gyro,25,26.55,11/3/2021,14:58:03,-7.39,100.46,177.08,25.79,-988.2,-12.9,128.1,996.5,10.688,-4.4885,24.3522,-3.4363,24.7624,100.4433,1.1906, ,13179
cs_AMU_gyro,30,31.55,11/3/2021,15:00:33,-7.02,100.5,177.08,26.09,-988.2,-13.1,121.7,995.8,10.688,-5.3909,29.2299,-4.0633,29.7229,100.4497,2.2281, ,13179
cs_AMU_gyro,35,36.55,11/3/2021,15:01:56,-6.64,100.48,177.08,26.39,-989.5,-12.1,115.2,996.2,10.688,-6.2951,34.1114,-4.6579,34.6874,100.456,2.2768, ,13179
cs_AMU_gyro,40,41.55,11/3/2021,15:03:19,-6.31,100.53,177.08,26.7,-990.7,-8.6,109.5,996.8,10.688,-7.2011,38.9962,-5.2216,39.6555,100.4625,2.0176, ,13179
cs_AMU_gyro,45,46.55,11/3/2021,15:04:48,-5.81,100.6,177.08,26.7,-990.8,-11,100.8,996,10.688,-8.1126,43.884,-5.7493,44.6276,100.4737,3.0131, ,13179
cs_AMU_gyro,50,51.55,11/3/2021,15:05:59,-5.53,100.65,177.08,26.7,-992.1,-12.2,96.1,996.8,10.688,-9.0299,48.7742,-6.2434,49.6031,100.4888,1.6835, ,13179
cs_AMU_gyro,55,56.55,11/3/2021,15:07:28,-5.14,100.65,177.08,27,-992.1,-8.8,89.3,996.1,10.688,-9.9499,53.6668,-6.7086,54.5814,100.5035,2.3402, ,13179
cs_AMU_gyro,57.33,58.88,11/3/2021,15:09:55,-5.06,100.66,177.08,27.3,-992.1,-11.4,87.8,996.1,10.688,-10.3789,55.9476,-6.9158,56.9021,100.5095,1.1389, ,13179
cs_AMU_gyro,57.33,58.88,11/3/2021,15:17:16,-5.05,100.66,177.08,27.61,-992.1,-10.3,87.8,996,10.688,-10.3789,55.9476,-6.9158,56.9021,100.5095,0, ,13179
cs_AMU_gyro,55,56.55,11/3/2021,15:20:03,-5.26,100.68,177.08,27.91,-992,-10.5,91.3,996.3,10.688,-9.9493,53.6671,-6.7064,54.5816,100.5027,2.6238, ,13179
cs_AMU_gyro,50,51.55,11/3/2021,15:23:57,-5.58,100.64,177.08,27.91,-992,-11.7,96.9,996.7,10.688,-9.0284,48.7754,-6.2343,49.6039,100.4868,1.9363, ,13179
cs_AMU_gyro,45,46.55,11/3/2021,15:27:12,-5.9,100.63,177.08,27.91,-990.7,-10.5,102.4,996,10.688,-8.1104,43.8859,-5.7345,44.629,100.4706,1.9278, ,13179
cs_AMU_gyro,40,41.55,11/3/2021,15:31:26,-6.38,100.56,177.08,27.91,-990.6,-15.3,110.7,996.9,10.688,-7.1966,38.9992,-5.2,39.6577,100.4553,2.8898, ,13179
cs_AMU_gyro,35,36.55,11/3/2021,15:34:29,-6.76,100.57,177.08,27.91,-989.3,-11.7,117.3,996.3,10.688,-6.2859,34.1162,-4.6281,34.6905,100.4397,2.3108, ,13179
cs_AMU_gyro,30,31.55,11/3/2021,15:37:01,-7.09,100.58,177.08,27.91,-989.2,-8.1,123,996.9,10.688,-5.3752,29.237,-4.0254,29.727,100.4175,1.9624, ,13179
cs_AMU_gyro,25,26.55,11/3/2021,15:41:05,-7.45,100.55,177.08,27.61,-988,-15.1,129.2,996.5,10.688,-4.4662,24.3612,-3.3928,24.7672,100.3889,2.1858, ,13179
cs_AMU_gyro,20,21.55,11/3/2021,15:43:51,-7.65,100.4,177.08,27.61,-986.8,-15.2,132.5,995.7,10.688,-3.5652,19.4871,-2.736,19.8105,100.3677,1.4562, ,13179
cs_AMU_gyro,15,16.55,11/3/2021,15:46:35,-7.92,100.34,177.08,27.61,-986.7,-10.4,137.3,996.2,10.688,-2.6735,14.6141,-2.0587,14.8566,100.367,1.705, ,13179
cs_AMU_gyro,10,11.55,11/3/2021,15:49:41,-8.09,100.39,177.08,27.3,-986.7,-15,140.2,996.7,10.688,-1.7827,9.7436,-1.3624,9.9053,100.3682,1.016, ,13179
cs_AMU_gyro,5,6.55,11/3/2021,15:53:31,-8.28,100.43,177.08,27,-985.5,-12.4,143.5,995.9,10.688,-0.8885,4.876,-0.6507,4.9563,100.3274,1.2012, ,13179
cs_AMU_gyro,0,1.55,11/3/2021,15:56:23,-8.2,100.3,177.08,27,-985.5,-12.4,142,995.7,10.688,0.0017,0.0083,0.066,0.0085,78.2616,0.8872, ,13179
