Hole#,Depth m,Date,Time,Dip,Azimuth,SAg,Temp,Gx,Gy,Gz,G-Total,Wt,Northing,Easting,Elev,CD,CBrg,DLeg,Quality,SerNum
ms_DMU3,0,29/9/2021,15:49:05,-35.16,122.37,305.97,77.33,-30.7,-816.6,576,999.8,10.651,0,0,0,0,0,0, ,14714
ms_DMU3,5,29/9/2021,15:56:17,-35.37,122.84,279.59,77.87,195.1,-791.2,579,999.6,10.727,-2.1997,3.4391,-2.8868,4.0824,122.6037,2.6478, ,14714
ms_DMU3,10,29/9/2021,16:03:11,-35.55,122.22,340.62,77.87,735.5,-343.8,581,998.3,10.709,-4.3895,6.8728,-5.7876,8.1549,122.5658,3.2318, ,14714
ms_DMU3,15,29/9/2021,16:10:05,-35.69,122.39,328.73,78.96,226.9,779.3,581.7,998.6,10.637,-6.5616,10.3083,-8.6996,12.2194,122.4782,1.1976, ,14714
ms_DMU3,20,29/9/2021,16:18:11,-35.71,122.44,331.11,80.05,-769.9,252.4,582.6,998,10.723,-8.7383,13.7359,-11.6173,16.2798,122.4631,0.3014, ,14714
ms_DMU3,25,29/9/2021,16:25:59,-35.78,122.44,342.53,81.15,724.3,-361.8,584.3,998.4,10.732,-10.9154,17.1605,-14.5383,20.3379,122.4595,0.414, ,14714
ms_DMU3,30,29/9/2021,16:33:47,-35.84,121.56,345.03,82.24,-708.4,391,584.3,998.1,10.662,-13.0641,20.5991,-17.4639,24.3925,122.3832,4.3401, ,14714
ms_DMU3,35,29/9/2021,16:41:53,-35.94,122.37,339.12,82.78,-326.1,-740.6,586.9,999.6,10.752,-15.2085,24.0356,-20.395,28.4431,122.3235,4.0098, ,14714
ms_DMU3,40,29/9/2021,16:48:47,-35.9,122.14,330.66,83.87,769,-249.3,585.9,998.4,10.642,-17.3696,27.4601,-23.3281,32.4924,122.3149,1.1646, ,14714
ms_DMU3,45,29/9/2021,16:56:35,-35.86,121.64,350.52,84.42,-672.3,449.9,585,998.3,10.547,-19.5098,30.8998,-26.2585,36.5435,122.2678,2.4189, ,14714
ms_DMU3,50,29/9/2021,17:04:05,-35.91,121.67,325.13,84.96,192.4,786.4,584.7,998.7,10.691,-21.6358,34.3481,-29.1893,40.5943,122.2067,0.2841, ,14714
ms_DMU3,50,29/9/2021,17:15:47,-35.93,121.9,278.85,84.96,-785.8,-189,586.2,998.4,10.706,-21.6358,34.3481,-29.1893,40.5943,122.2067,0, ,14714
ms_DMU3,45,29/9/2021,17:23:53,-35.91,121.56,272.21,84.96,259.3,-766.6,586.2,999.3,10.692,-19.5062,30.904,-26.2562,36.5452,122.2595,1.6763, ,14714
ms_DMU3,40,29/9/2021,17:31:05,-35.93,121.96,272.06,84.96,256,-767.3,586.7,999.3,10.7,-17.3748,27.4611,-23.323,32.4961,122.3218,1.9688, ,14714
ms_DMU3,35,29/9/2021,17:39:11,-35.98,121.82,274.26,84.42,773.3,233.5,586.6,998.3,10.683,-15.2364,24.0247,-20.3873,28.4488,122.3828,0.7226, ,14714
ms_DMU3,30,29/9/2021,17:47:17,-35.88,122.25,257.6,84.42,-408.4,698.7,584.7,998.4,10.634,-13.0889,20.5925,-17.4533,24.4002,122.4405,2.125, ,14714
ms_DMU3,25,29/9/2021,17:53:53,-35.83,122.37,254.75,83.87,433.9,-683.9,585.2,999.2,10.698,-10.9231,17.1674,-14.5245,20.3478,122.4672,0.6639, ,14714
ms_DMU3,20,29/9/2021,18:00:47,-35.74,122.45,251.19,82.78,658.4,472.4,582.9,998.2,10.677,-8.7494,13.7432,-11.6005,16.292,122.4822,0.6503, ,14714
ms_DMU3,15,29/9/2021,18:07:41,-35.72,122.62,249.81,81.69,-489.9,646.2,582.5,998.4,10.651,-6.5667,10.3212,-8.6806,12.2331,122.4659,0.8485, ,14714
ms_DMU3,10,29/9/2021,18:14:35,-35.6,122.14,253.16,81.15,-679.6,-444.5,581.9,999,10.745,-4.3911,6.8903,-5.7659,8.1706,122.5089,2.4268, ,14714
ms_DMU3,5,29/9/2021,18:22:05,-35.35,122.81,291.84,80.05,-88.6,810.4,577,998.8,10.764,-2.2047,3.4553,-2.8641,4.0988,122.5406,3.5842, ,14714
ms_DMU3,0,29/9/2021,18:28:59,-35.37,122.43,316.28,78.96,-804.7,120.2,578.2,998.1,10.596,-0.0067,0.0209,0.0295,0.0219,107.7743,1.8821, ,14714
