Hole#,Depth,Date,Time,Dip,Azimuth,SAg,Temp,Gx,Gy,Gz,G-Total,Wt,Northing,Easting,Elev,CD,CBrg,DLeg,Quality,SerNum
,,,,,,,,,,,,,,,,,,,,
cs_DMU,0,30/9/2021,9:43:08,-1.99,115.9,341.16,72.42,-997.7,-1.2,34.6,998.3,10.719,0,0,0,0,0,0, ,14714
cs_DMU,5,30/9/2021,9:45:28,-2.09,115.97,341.16,72.96,-997.8,6.6,36.4,998.5,10.719,-2.1854,4.4936,-0.1779,4.9968,115.935,0.7608, ,14714
cs_DMU,10,30/9/2021,9:47:04,-1.91,115.99,341.16,73.51,-997.5,-1.2,33.2,998.1,10.719,-4.3744,8.9855,-0.3522,9.9938,115.9582,1.0957, ,14714
cs_DMU,15,30/9/2021,9:48:46,-1.58,115.92,341.16,74.6,-997.8,19,27.6,998.4,10.719,-6.5619,13.4791,-0.5045,14.9915,115.9578,1.9815, ,14714
cs_DMU,20,30/9/2021,9:50:52,-1.12,115.9,341.16,75.14,-998.1,17.8,19.6,998.4,10.719,-8.7461,17.9752,-0.6225,19.9901,115.946,2.7655, ,14714
cs_DMU,25,30/9/2021,9:52:41,-0.72,115.86,341.16,75.69,-998.3,15.9,12.6,998.6,10.719,-10.9281,22.4732,-0.7031,24.9894,115.9323,2.4102, ,14714
cs_DMU,30,30/9/2021,9:55:13,-0.27,115.88,341.16,76.78,-998.3,5.5,4.7,998.3,10.719,-13.1096,26.972,-0.7465,29.9892,115.9217,2.7087, ,14714
cs_DMU,35,30/9/2021,9:57:14,0.17,115.87,341.16,77.33,-998.5,12.1,-3,998.6,10.719,-15.2916,31.4708,-0.7508,34.9892,115.9151,2.6764, ,14714
cs_DMU,40,30/9/2021,9:59:03,0.62,115.87,341.16,78.42,-998.4,6.9,-10.9,998.4,10.719,-17.4731,35.9696,-0.7159,39.989,115.9093,2.7061, ,14714
cs_DMU,45,30/9/2021,10:01:15,1.07,115.85,341.16,78.96,-997.9,16.7,-18.6,998.2,10.719,-19.6536,40.4685,-0.642,44.9885,115.9036,2.6722, ,14714
cs_DMU,50,30/9/2021,10:03:29,1.48,115.84,341.16,80.05,-997.7,13.5,-25.8,998.2,10.719,-21.8326,44.9673,-0.5306,49.9872,115.8975,2.473, ,14714
cs_DMU,50,30/9/2021,10:11:54,1.48,115.84,341.16,81.69,-997.7,13.5,-25.8,998.1,10.719,-21.8326,44.9673,-0.5306,49.9872,115.8975,0, ,14714
cs_DMU,50,30/9/2021,10:12:14,1.49,115.84,341.16,81.69,-997.7,13.5,-25.9,998.2,10.719,-21.8326,44.9673,-0.5306,49.9872,115.8975,0, ,14714
cs_DMU,45,30/9/2021,10:13:58,1.07,115.84,341.16,81.69,-998.4,3.7,-18.7,998.6,10.719,-19.6538,40.4684,-0.6424,44.9885,115.9039,2.472, ,14714
cs_DMU,40,30/9/2021,10:15:28,0.57,115.82,341.16,82.24,-998.5,13.4,-9.9,998.6,10.719,-17.4757,35.9683,-0.7142,39.989,115.9134,3.0334, ,14714
cs_DMU,35,30/9/2021,10:16:58,0.14,115.74,341.16,82.24,-998.4,12,-2.4,998.5,10.719,-15.3012,31.466,-0.7451,34.9891,115.9326,2.6179, ,14714
cs_DMU,30,30/9/2021,10:18:27,-0.3,115.76,341.16,82.24,-998.5,-6.2,5.3,998.6,10.719,-13.1291,26.9626,-0.7381,29.9892,115.9632,2.6535, ,14714
cs_DMU,25,30/9/2021,10:21:27,-0.81,115.76,341.16,82.24,-998.4,7.4,14.1,998.5,10.719,-10.9562,22.4596,-0.6896,24.9895,116.004,3.0421, ,14714
cs_DMU,20,30/9/2021,10:22:48,-1.17,115.81,341.16,82.24,-998.2,15.8,20.3,998.6,10.719,-8.7816,17.9581,-0.6033,19.9903,116.0589,2.1724, ,14714
cs_DMU,15,30/9/2021,10:24:16,-1.64,115.83,341.16,81.69,-998,14.5,28.6,998.5,10.719,-6.6045,13.4587,-0.4807,14.9919,116.1384,2.848, ,14714
cs_DMU,10,30/9/2021,10:25:38,-1.91,115.91,341.16,81.69,-998.1,-3.7,33.3,998.7,10.719,-4.424,8.9619,-0.3257,9.9943,116.2731,1.6708, ,14714
cs_DMU,5,30/9/2021,10:27:29,-2.13,115.88,341.16,81.15,-997.8,6.6,37.2,998.5,10.719,-2.2421,4.4665,-0.1494,4.9977,116.6562,1.3381, ,14714
cs_DMU,0,30/9/2021,10:31:37,-2.02,115.95,341.16,80.6,-997.6,1.4,35.2,998.2,10.719,-0.0587,-0.0279,0.0319,0.065,205.4252,0.7804, ,14714
