Hole#,Depth,Date,Time,Dip,Azimuth,SAg,Temp,Gx,Gy,Gz,G-Total,Wt,Northing,Easting,Elev,CD,CBrg,DLeg,Quality,SerNum
cs_e2-ts,0,26/7/2021,16:39:15,-24.89,54.38,177.25,26.7,758.6,494.7,420.7,998.6,10.91,0,0,0,0,0,0, ns,14726
cs_e2-ts,0,26/7/2021,16:56:51,-16.57,54.58,177.18,26.7,-955.7,-20.4,284.3,997.3,10.92,0,0,0,0,0,0, ,14726
cs_e2-ts,10,26/7/2021,16:59:06,-16.29,54.62,177.18,26.7,-957.6,-7.4,279.9,997.7,10.92,5.56,7.82,-2.83,9.59,54.6,0.83, ,14726
cs_e2-ts,20,26/7/2021,17:00:57,-15.75,54.62,177.18,27,-959.7,-14.5,270.7,997.3,10.92,11.12,15.65,-5.59,19.2,54.61,1.63, ,14726
cs_e2-ts,30,26/7/2021,17:02:45,-14.95,54.66,177.18,27,-963.7,-9.9,257.3,997.5,10.92,16.7,23.52,-8.23,28.85,54.62,2.41, ,14726
cs_e2-ts,40,26/7/2021,17:04:32,-14.21,54.67,177.18,27.3,-966.5,-15.7,244.8,997.2,10.92,22.3,31.41,-10.75,38.52,54.63,2.21, ,14726
cs_e2-ts,50,26/7/2021,17:06:58,-13.63,54.74,177.18,27.61,-969.2,-10.5,235.1,997.4,10.92,27.91,39.34,-13.16,48.23,54.65,1.75, ,14726
cs_e2-ts,60,26/7/2021,17:09:07,-12.82,54.87,177.18,27.61,-972.6,-11.8,221.4,997.5,10.92,33.52,47.29,-15.45,57.97,54.67,2.46, ,14726
cs_e2-ts,70,26/7/2021,17:10:47,-12.21,54.76,177.18,27.61,-975.1,0,211.1,997.7,10.92,39.14,55.27,-17.61,67.73,54.69,1.85, ,14726
cs_e2-ts,78.3,26/7/2021,17:12:56,-11.61,54.78,177.18,27.91,-976.7,-10.4,200.7,997.1,10.92,43.83,61.9,-19.33,75.85,54.7,2.19, ,14726
cs_e2-ts,78.3,26/7/2021,17:13:02,-11.61,54.78,177.18,27.91,-976.7,-10.4,200.7,997.1,10.92,43.83,61.9,-19.33,75.85,54.7,0, ,14726
cs_e2-ts,70,26/7/2021,17:20:45,-12.34,54.75,177.18,28.21,-974.2,-16.3,213.2,997.3,10.92,39.14,55.27,-17.6,67.73,54.69,2.65, ,14726
cs_e2-ts,60,26/7/2021,17:22:48,-12.94,54.83,177.18,28.21,-972.1,-13.1,223.4,997.5,10.92,33.52,47.3,-15.42,57.97,54.68,1.8, ,14726
cs_e2-ts,40,26/7/2021,17:25:45,-14.33,54.66,177.18,28.52,-966.2,-9.3,246.8,997.3,10.92,22.3,31.43,-10.7,38.54,54.64,2.1, ,14726
cs_e2-ts,20,26/7/2021,17:28:55,-15.88,54.64,177.18,28.52,-959.6,-6.8,273,997.7,10.92,11.13,15.68,-5.49,19.23,54.63,2.33, ,14726
cs_e2-ts,0,26/7/2021,17:32:32,-16.52,54.62,177.18,28.82,-956.4,-10.1,283.7,997.6,10.92,0.01,0.02,0.09,0.02,59.2,0.96, ,14726
