Depth,Temperature,FCond
0.63,21.3774,-999
0.68,21.4342,595.698
0.73,21.4072,604.456
0.78,21.3814,601.965
0.83,21.3814,603.29
0.88,21.3384,604.522
0.93,21.3171,602.68
0.98,21.2985,604.372
1.03,21.2399,599.818
1.08,21.2528,597.72
1.13,21.2453,598.314
1.18,21.2785,598.242
1.23,21.2657,603.687
1.28,21.2852,598.392
1.33,21.3429,597.594
1.38,21.3612,603.219
1.43,21.3783,600.038
1.48,21.4329,601.577
1.53,21.4715,607.518
1.58,21.4582,607.775
1.63,21.4715,606.559
1.68,21.4844,605.551
1.73,21.4844,607.593
1.78,21.4844,604.308
1.83,21.5101,603.691
1.88,21.5101,606.25
1.93,21.4972,606.784
1.98,21.4844,602.367
2.03,21.4715,601.496
2.08,21.4981,598.566
2.13,21.4981,597.748
2.18,21.4981,596.499
2.23,21.4981,596.588
2.28,21.5114,596.855
2.33,21.4972,598.189
2.38,21.4981,597.061
2.43,21.5101,596.944
2.48,21.5247,597.313
2.53,21.523,596.843
2.58,21.538,596.618
2.63,21.5247,595.501
2.68,21.5487,595.685
2.73,21.5358,596.003
2.78,21.538,595.408
2.83,21.5404,595.768
2.88,21.538,595.694
2.93,21.538,597.015
2.98,21.538,596.391
3.03,21.5487,596.124
3.08,21.5647,596.864
3.13,21.5873,596.289
3.18,21.596,595.899
3.23,21.6084,596.707
3.28,21.6179,597.455
3.33,21.6516,597.249
3.38,21.6645,597.86
3.43,21.7031,595.952
3.48,21.6902,596.369
3.53,21.6977,595.597
3.58,21.711,595.698
3.63,21.711,596.587
3.68,21.7243,596.229
3.73,21.7416,596.135
3.78,21.7416,596.529
3.83,21.7674,595.578
3.88,21.7674,595.742
3.93,21.7776,595.31
3.98,21.7827,595.313
4.03,21.7931,595.717
4.08,21.7802,595.474
4.13,21.7952,595.133
4.18,21.7931,595.546
4.23,21.806,594.784
4.28,21.7931,595.643
4.33,21.8042,596.079
4.38,21.806,596.736
4.43,21.8175,596.075
4.48,21.8446,596.732
4.53,21.845,597.192
4.58,21.8703,596.117
4.63,21.896,595.191
4.68,21.8823,595.357
4.73,21.896,595.269
4.78,21.8948,595.877
4.83,21.9057,596.187
4.88,21.896,596.395
4.93,21.9346,596.137
4.98,21.9475,596.041
5.03,21.9639,595.257
5.08,21.9732,595.529
5.13,21.9732,596.206
5.18,21.9861,595.598
5.23,21.9732,597.074
5.28,22.0118,596.119
5.33,22.0118,596.547
5.38,22.0442,595.764
5.43,22.0633,595.904
5.48,22.0442,595.842
5.53,22.0761,595.652
5.58,22.0691,596.363
5.63,22.0761,596.491
5.68,22.089,596.015
5.73,22.1018,596.536
5.78,22.1147,595.924
5.83,22.1103,596.446
5.88,22.1147,596.043
5.93,22.1276,595.661
5.98,22.1313,596.27
6.03,22.1147,596.484
6.08,22.1189,596.097
6.13,22.1189,596.823
6.18,22.1276,597.077
6.23,22.1469,596.008
6.28,22.1662,596.11
6.33,22.1562,596.441
6.38,22.1562,595.806
6.43,22.1662,597.159
6.48,22.1562,597.316
6.53,22.1768,596.651
6.58,22.179,597.757
6.63,22.2048,596.79
6.68,22.2048,597.315
6.73,22.2309,596.876
6.78,22.2433,597.071
6.83,22.2433,596.901
6.88,22.2691,596.731
6.93,22.2931,596.875
6.98,22.2807,596.053
7.03,22.2795,595.883
7.08,22.2931,596.513
7.13,22.2931,596.561
7.18,22.3077,596.476
7.23,22.3205,596.262
7.28,22.3205,597.579
7.33,22.3554,596.788
7.38,22.3678,597.925
7.43,22.3977,597.415
7.48,22.4176,596.002
7.53,22.455,596.567
7.58,22.455,596.06
7.63,22.4674,595.89
7.68,22.4674,595.127
7.73,22.4846,596.572
7.78,22.4923,595.784
7.83,22.4966,595.384
7.88,22.5006,595.045
7.93,22.5048,594.52
7.98,22.5135,594.961
8.03,22.4878,595.925
8.08,22.4923,595.922
8.13,22.5297,596.49
8.18,22.5172,596.495
8.23,22.567,596.152
8.28,22.5708,595.904
8.33,22.6044,595.134
8.38,22.6168,594.55
8.43,22.6052,594.637
8.48,22.6132,594.319
8.53,22.5942,594.732
8.58,22.6293,594.579
8.63,22.6125,594.824
8.68,22.6109,594.717
8.73,22.6293,594.183
8.78,22.61,594.186
8.83,22.6109,594.797
8.88,22.6477,595.061
8.93,22.6293,595.57
8.98,22.6293,595.064
9.03,22.6477,594.687
9.08,22.6844,594.691
9.13,22.666,596.461
9.18,22.6844,595.826
9.23,22.7028,595.578
9.28,22.7395,595.456
9.33,22.7395,595.718
9.38,22.7579,594.962
9.43,22.7763,594.338
9.48,22.7836,593.714
9.53,22.7947,594.043
9.58,22.7947,594.599
