Depth,Temperature,FCond
4.9,23.7871,-999
4.95,23.7695,580.318
5,23.7871,579.026
5.05,23.7871,580.074
5.1,23.8046,579.628
5.15,23.7871,579.276
5.2,23.8046,579.07
5.25,23.8046,577.069
5.3,23.7871,577.301
5.35,23.8046,576.714
5.4,23.8038,577.417
5.45,23.8046,577.744
5.5,23.8038,577.069
5.55,23.8046,578.299
5.6,23.8221,576.953
5.65,23.8046,578.586
5.7,23.8206,577.996
5.75,23.8221,578.419
5.8,23.8206,577.773
5.85,23.8397,576.755
5.9,23.8221,578.828
5.95,23.8572,577.657
6,23.8397,578.604
6.05,23.8748,577.897
6.1,23.871,578.497
6.15,23.8748,578.333
6.2,23.8748,576.871
6.25,23.8877,578.031
6.3,23.9045,577.563
6.35,23.9274,578.24
6.4,23.9274,577.594
6.45,23.9548,576.666
6.5,23.9548,577.043
6.55,23.9625,577.154
6.6,23.98,576.221
6.65,23.9976,577.274
6.7,24.0151,576.24
6.75,24.0151,577.062
6.8,24.0387,576.133
6.85,24.0555,576.646
6.9,24.0326,576.212
6.95,24.0677,575.795
7,24.0387,576.279
7.05,24.0677,575.316
7.1,24.0555,576.279
7.15,24.0502,576.212
7.2,24.0555,575.574
7.25,24.0677,576.323
7.3,24.0677,575.237
7.35,24.0723,576.279
7.4,24.0853,575.889
7.45,24.0853,574.9
7.5,24.0853,575.942
7.55,24.0891,574.9
7.6,24.0853,575.566
7.65,24.1059,574.784
7.7,24.1204,575.354
7.75,24.0891,575.499
7.8,24.1059,574.57
7.85,24.1204,575.354
7.9,24.1059,575.615
7.95,24.1059,574.359
8,24.1379,575.354
8.05,24.1059,575.277
8.1,24.1379,574.469
8.15,24.1226,575.393
8.2,24.1379,575.364
8.25,24.1226,574.352
8.3,24.1562,575.364
8.35,24.1204,575.052
8.4,24.1562,574.573
8.45,24.1394,574.941
8.5,24.1394,575.263
8.55,24.173,574.268
8.6,24.1562,575.067
8.65,24.1554,575.052
8.7,24.173,574.247
8.75,24.173,574.841
8.8,24.173,574.026
8.85,24.173,575.183
8.9,24.1554,574.951
8.95,24.1905,574.478
9,24.1562,575.078
9.05,24.1898,574.277
9.1,24.173,574.851
9.15,24.173,575.299
9.2,24.173,574.177
9.25,24.1905,575.062
9.3,24.173,575.078
9.35,24.2081,574.066
9.4,24.1898,574.973
9.45,24.1898,574.962
9.5,24.1898,573.966
9.55,24.2081,575.073
9.6,24.1905,574.973
9.65,24.2081,574.383
9.7,24.1898,575.205
9.75,24.2081,574.076
9.8,24.2065,575.205
9.85,24.2065,574.751
9.9,24.2065,573.755
9.95,24.2256,574.861
10,24.1898,574.753
10.05,24.2256,573.966
10.1,24.2233,574.869
10.15,24.2065,574.65
10.2,24.2431,573.866
10.25,24.2081,574.648
10.3,24.2256,574.163
10.35,24.2401,574.984
10.4,24.2081,574.44
10.45,24.2431,574.279
10.5,24.2065,574.532
10.55,24.2233,573.755
10.6,24.2233,574.54
10.65,24.2256,574.54
10.7,24.2233,573.712
10.75,24.2233,574.54
10.8,24.2401,574.54
10.85,24.2233,574.329
10.9,24.2233,573.545
10.95,24.2431,574.54
11,24.2256,574.648
11.05,24.2569,573.712
11.1,24.2256,574.008
11.15,24.2569,573.596
11.2,24.2401,574.008
11.25,24.2431,574.218
11.3,24.2569,573.261
11.35,24.2569,574.008
11.4,24.2569,573.897
11.45,24.2431,574.008
11.5,24.2569,573.261
11.55,24.2737,574.008
11.6,24.2401,573.687
11.65,24.2782,573.114
11.7,24.2607,573.976
11.75,24.2569,573.157
11.8,24.2782,574.008
11.85,24.2607,574.092
11.9,24.2737,573.157
11.95,24.2782,573.797
12,24.2737,573.052
12.05,24.2958,573.797
12.1,24.2569,573.756
12.15,24.2904,573.124
12.2,24.2958,573.587
12.25,24.2737,573.988
12.3,24.2958,572.804
12.35,24.2904,573.988
12.4,24.2737,573.587
12.45,24.2958,572.914
12.5,24.3072,573.872
12.55,24.2782,573.487
12.6,24.2958,573.168
12.65,24.2904,573.872
12.7,24.2958,572.814
12.75,24.3072,573.988
12.8,24.2904,573.487
12.85,24.3133,572.814
12.9,24.2958,573.652
12.95,24.3072,572.948
13,24.3072,573.487
13.05,24.324,573.598
13.1,24.3133,573.277
13.15,24.3309,572.729
13.2,24.3072,573.433
13.25,24.3309,572.604
13.3,24.3133,573.548
13.35,24.3309,572.729
13.4,24.3408,573.548
13.45,24.3133,573.178
13.5,24.3408,572.729
13.55,24.3408,573.178
13.6,24.3133,573.068
13.65,24.3408,572.844
13.7,24.3309,573.068
13.75,24.3408,572.394
13.8,24.3576,573.068
