Depth,Temperature,FCond,  Depth ft
0.836,21.1657,-999,2.74359
0.886,21.1836,794.386,2.90764
0.936,21.2017,794.255,3.07168
0.986,21.1836,795.757,3.23572
1.036,21.2051,794.255,3.39976
1.086,21.2134,793.292,3.5638
1.136,21.1836,794.804,3.72785
1.186,21.2265,793.69,3.89189
1.236,21.2265,792.612,4.05593
1.286,21.2479,794.309,4.21997
1.336,21.2265,790.807,4.38401
1.386,21.2639,790.641,4.54806
1.436,21.2412,790.931,4.7121
1.486,21.2693,792.55,4.87614
1.536,21.2639,792.1,5.04018
1.586,21.2907,793.932,5.20422
1.636,21.2907,795.957,5.36827
1.686,21.2907,794.535,5.53231
1.736,21.2907,794.251,5.69635
1.786,21.3335,795.103,5.86039
1.836,21.3121,797.447,6.02443
1.886,21.3145,795.844,6.18848
1.936,21.3335,795.341,6.35252
1.986,21.3145,798.02,6.51656
2.036,21.3335,795.072,6.6806
2.086,21.3347,795.162,6.84464
2.136,21.3549,797.122,7.00869
2.186,21.3549,794.053,7.17273
2.236,21.3763,796.206,7.33677
2.286,21.3751,794.083,7.50081
2.336,21.3977,795.831,7.66485
2.386,21.3977,793.403,7.8289
2.436,21.3977,793.403,7.99294
2.486,21.4156,793.403,8.15698
2.536,21.3977,794.811,8.32102
2.586,21.4156,793.119,8.48506
2.636,21.4192,794.811,8.64911
2.686,21.3954,792.44,8.81315
2.736,21.4192,792.501,8.97719
2.786,21.4156,794.999,9.14123
2.836,21.4358,791.861,9.30527
2.886,21.4406,793.899,9.46932
2.936,21.4406,792.045,9.63336
2.986,21.462,792.328,9.7974
3.036,21.462,792.217,9.96144
3.086,21.462,795.348,10.1255
3.136,21.4834,793.068,10.2895
3.186,21.4762,792.957,10.4536
3.236,21.456,795.576,10.6176
3.286,21.4762,794.063,10.7817
3.336,21.456,796.387,10.9457
3.386,21.4762,794.332,11.1097
3.436,21.4699,796.117,11.2738
3.486,21.4834,793.327,11.4378
3.536,21.4762,796.383,11.6019
3.586,21.5167,793.69,11.7659
3.636,21.489,795.639,11.93
3.686,21.5167,792.719,12.094
