Depth,Temperature,FCond,  Depth ft
0.862,20.9182,-999,2.82971
0.912,21.0921,82.3223,2.99376
0.962,19.9374,81.9862,3.1578
1.012,20.8696,84.2708,3.32184
1.062,19.4542,82.4166,3.48588
1.112,19.434,85.265,3.64992
1.162,21.274,85.3071,3.81397
1.212,19.6564,81.6374,3.97801
1.262,19.4776,84.8461,4.14205
1.312,20.0331,85.2163,4.30609
1.362,21.5571,84.0765,4.47013
1.412,20.8818,81.1006,4.63418
1.462,21.1825,82.393,4.79822
1.512,21.1365,81.8124,4.96226
1.562,20.6461,81.9007,5.1263
1.612,19.7458,82.8536,5.29034
1.662,19.4585,84.6622,5.45439
1.712,19.5159,85.2562,5.61843
1.762,19.6692,85.1367,5.78247
1.812,19.5351,84.8198,5.94651
1.862,18.6252,85.097,6.11055
1.912,19.3627,87.0267,6.2746
1.962,20.0406,85.456,6.43864
2.012,20.8186,84.0614,6.60268
2.062,21.1634,82.5161,6.76672
2.112,21.1059,81.8492,6.93076
2.162,21.6461,81.9596,7.09481
2.212,21.6423,80.9334,7.25885
2.262,21.6614,80.9406,7.42289
2.312,21.6643,80.9047,7.58693
2.362,21.5733,80.8993,7.75097
2.412,21.6643,81.0702,7.91502
2.462,21.6614,80.8993,8.07906
2.512,21.6825,80.9047,8.2431
2.562,21.4699,80.8652,8.40714
2.612,21.604,81.2654,8.57118
2.662,21.5369,81.0125,8.73523
2.712,21.3166,81.1387,8.89927
2.762,21.4315,81.5562,9.06331
2.812,21.2975,81.3379,9.22735
2.862,20.627,81.5927,9.39139
2.912,21.4507,82.8913,9.55544
2.962,21.6097,81.3016,9.71948
3.012,21.6097,81.0017,9.88352
3.062,21.5551,81.0017,10.0476
3.112,21.5915,81.1045,10.2116
3.162,21.5915,81.0359,10.3757
3.212,21.4641,81.0359,10.5397
3.262,20.9526,81.2762,10.7037
3.312,21.2208,82.2554,10.8678
3.362,20.8454,81.7391,11.0318
3.412,21.125,82.4638,11.1959
3.462,20.7994,81.9227,11.3599
3.512,20.991,82.5535,11.5239
3.562,20.5695,82.1813,11.688
3.612,20.9182,83.0045,11.852
3.662,21.2821,82.3223,12.0161
3.712,21.4936,81.6219,12.1801
3.762,21.4823,81.2205,12.3441
3.812,21.4762,81.2418,12.5082
3.862,21.4095,81.2533,12.6722
3.912,21.5005,81.3796,12.8363
3.962,21.1183,81.2074,13.0003
4.012,21.2457,81.9356,13.1644
4.062,21.5005,81.6915,13.3284
4.112,21.4277,81.2074,13.4924
4.162,21.3376,81.3451,13.6565
4.212,20.9718,81.5163,13.8205
4.262,21.125,82.2183,13.9846
4.312,21.2163,81.9227,14.1486
4.362,21.0819,81.7478,14.3126
4.412,21.2821,82.0057,14.4767
4.462,21.3896,81.6219,14.6407
4.512,21.4095,88.1209,14.8048
4.562,21.3731,152.543,14.9688
4.612,21.3731,232.163,15.1329
4.662,21.3723,299.672,15.2969
4.712,21.3731,376.445,15.4609
4.762,21.3896,504.373,15.625
4.812,21.3932,513.23,15.789
4.862,21.3913,513.348,15.9531
4.912,21.3741,513.387,16.1171
4.962,21.4095,513.791,16.2812
5.012,21.4095,514.486,16.4452
5.062,21.4277,516.422,16.6092
5.112,21.4459,518.462,16.7733
5.162,21.4641,519.172,16.9373
5.212,21.4589,519.677,17.1014
5.262,21.4823,520.993,17.2654
5.312,21.4823,521.017,17.4294
5.362,21.4762,521.121,17.5935
5.412,21.4762,521.379,17.7575
5.462,21.4823,522.176,17.9216
5.512,21.5005,522.272,18.0856
5.562,21.4936,522.051,18.2497
5.612,21.5005,521.965,18.4137
5.662,21.5109,522.051,18.5778
5.712,21.5187,522.854,18.7418
5.762,21.5187,522.354,18.9058
5.812,21.5187,522.459,19.0699
5.862,21.5187,521.62,19.2339
5.912,21.5369,522.144,19.398
5.962,21.5456,522.343,19.562
6.012,21.5282,522.233,19.726
6.062,21.5456,522.543,19.8901
6.112,21.5629,522.133,20.0541
6.162,21.5656,522.723,20.2182
6.212,21.5915,522.774,20.3822
6.262,21.5629,525.482,20.5462
6.312,21.5733,522.122,20.7103
6.362,21.5551,520.646,20.8743
6.412,21.5465,520.866,21.0384
6.462,21.5551,519.923,21.2024
6.512,21.5551,520.553,21.3665
6.562,21.5551,520.762,21.5305
6.612,21.5369,520.971,21.6945
6.662,21.5448,521.761,21.8586
6.712,21.5442,521.413,22.0226
6.762,21.5369,521.061,22.1867
6.812,21.5369,521.365,22.3507
6.862,21.5424,521.513,22.5147
6.912,21.5268,523.254,22.6788
6.962,21.5402,523.12,22.8428
7.012,21.5743,522.73,23.0069
7.062,21.6553,521.958,23.1709
7.112,21.7189,524.322,23.335
7.162,21.7189,523.333,23.499
7.212,21.7189,522.438,23.663
7.262,21.7371,523.104,23.8271
7.312,21.7371,522.972,23.9911
7.362,21.7391,523.395,24.1552
7.412,21.7391,524.007,24.3192
7.462,21.7593,525.425,24.4833
7.512,21.7593,524.115,24.6473
7.562,21.7796,525.773,24.8113
7.612,21.7998,524.816,24.9754
7.662,21.7998,525.045,25.1394
7.712,21.82,524.216,25.3035
7.762,21.82,524.444,25.4675
7.812,21.8474,523.971,25.6315
7.862,21.8402,526.083,25.7956
7.912,21.8604,525.266,25.9596
7.962,21.8474,526.211,26.1237
8.012,21.8604,526.083,26.2877
8.062,21.8604,525.973,26.4518
8.112,21.8688,527.287,26.6158
8.162,21.8807,526.834,26.7799
8.212,21.8604,527.76,26.9439
8.262,21.8807,527.047,27.1079
8.312,21.9009,527.88,27.272
8.362,21.9211,526.556,27.436
8.412,21.9116,527.268,27.6001
8.462,21.9211,526.567,27.7641
8.512,21.9413,526.311,27.9281
8.562,21.9413,527.023,28.0922
8.612,21.9758,525.708,28.2562
