     Depth,Temperature,TC FCond 25'C
         m,      deg C,        uS/cm
      1.78,    23.7495,         -999
      1.83,    23.7347,      77.1713
      1.88,    23.7767,      77.1965
      1.93,    23.7548,      77.1249
      1.98,    23.7534,      77.1622
      2.03,    23.7767,      77.1646
      2.08,    23.7703,      77.1249
      2.13,    23.8016,      77.1357
      2.18,     23.764,      77.0825
      2.23,    23.7734,      77.1465
      2.28,    23.7569,      77.1309
      2.33,    23.6886,       77.159
      2.38,    23.6817,      77.2753
      2.43,    23.7005,       77.287
      2.48,    23.6728,      77.2549
      2.53,    23.6672,      77.3048
      2.58,    23.6458,      77.3119
      2.63,    23.6601,      77.3486
      2.68,    23.6525,      77.3241
      2.73,    23.6345,      77.3371
      2.78,    23.6803,      77.3679
      2.83,    23.6803,      77.2895
      2.88,    23.6601,      77.2895
      2.93,    23.5907,      77.3241
      2.98,    23.6254,       77.443
      3.03,     23.563,      77.3835
      3.08,    23.6115,      77.4907
      3.13,    23.5907,      77.4073
      3.18,     23.563,       77.443
      3.23,     23.563,      77.4907
      3.28,     23.563,      77.4907
      3.33,    23.5387,      77.4907
      3.38,     23.563,      77.5324
      3.43,    23.5387,      77.4907
      3.48,    23.5127,      77.5324
      3.53,    23.5387,      77.5772
      3.58,    23.5145,      77.5324
      3.63,    23.5387,      77.5742
      3.68,    23.5387,      133.205
      3.73,    23.5127,      626.454
      3.78,     23.563,      703.131
      3.83,    23.5387,      693.416
      3.88,    23.5387,      767.559
      3.93,    23.5387,      764.387
      3.98,    23.5615,      766.904
      4.03,    23.5539,      765.946
      4.08,    23.5842,      764.993
      4.13,     23.563,      763.792
      4.18,    23.5615,      765.232
      4.23,    23.5873,      764.472
      4.28,    23.5615,       764.82
      4.33,    23.5601,      764.766
      4.38,    23.5842,      764.633
      4.43,    23.5615,      764.969
      4.48,    23.5601,      765.356
      4.53,    23.5615,       764.91
      4.58,    23.5816,      765.651
      4.63,    23.5816,       764.27
      4.68,    23.5842,      767.049
      4.73,    23.5615,      765.264
      4.78,    23.5842,      765.651
      4.83,    23.5842,      765.264
      4.88,     23.563,      765.264
      4.93,     23.603,      764.289
      4.98,    23.5842,      767.522
      5.03,     23.607,       766.15
      5.08,    23.5842,       766.06
      5.13,     23.607,      766.446
      5.18,     23.607,       766.06
      5.23,    23.5873,       766.06
      5.28,     23.607,      764.505
      5.33,    23.6115,      766.652
      5.38,    23.6115,      767.563
      5.43,     23.607,      767.563
      5.48,     23.607,      766.948
      5.53,    23.6358,      766.948
      5.58,    23.5873,       767.15
      5.63,    23.6115,      765.449
      5.68,     23.607,      768.197
      5.73,    23.6143,      767.541
      5.78,    23.6244,      767.518
      5.83,     23.603,      769.399
      5.88,    23.6041,      767.522
      5.93,     23.603,      768.422
      5.98,     23.607,      767.243
      6.03,    23.6244,      768.136
      6.08,     23.603,      767.158
      6.13,    23.6297,      767.802
      6.18,    23.6244,      768.343
      6.23,    23.6244,      770.806
      6.28,    23.6297,      768.557
      6.33,    23.6297,      769.237
      6.38,    23.6244,      769.237
      6.43,    23.6525,      768.837
      6.48,    23.6297,      769.148
      6.53,    23.6458,      769.835
      6.58,    23.6525,      768.753
      6.63,    23.6458,      769.447
      6.68,    23.6525,      771.287
      6.73,    23.6458,      769.447
      6.78,    23.6525,      769.034
      6.83,    23.6458,      769.447
      6.88,    23.6458,      769.315
      6.93,    23.6525,      769.034
      6.98,    23.6672,      769.746
      7.03,    23.6525,      771.769
      7.08,    23.6525,      770.045
      7.13,    23.6672,      770.344
      7.18,    23.6525,      769.231
      7.23,    23.6458,      770.045
      7.28,    23.6525,      769.877
      7.33,    23.6458,      770.344
      7.38,    23.6525,      769.877
      7.43,    23.6458,      770.344
      7.48,    23.6458,      772.418
      7.53,    23.6525,      770.159
      7.58,    23.6672,      770.643
      7.63,    23.6525,      769.512
      7.68,    23.6458,      770.643
      7.73,    23.6525,      770.159
      7.78,    23.6886,      770.344
      7.83,    23.6525,      771.969
      7.88,    23.6672,      770.643
      7.93,    23.6525,      769.794
      7.98,    23.6398,      772.144
      8.03,    23.6711,      771.326
      8.08,    23.6653,      773.003
      8.13,    23.6601,      771.911
      8.18,    23.6427,      771.314
      8.23,    23.6444,       771.41
      8.28,    23.6358,      770.182
