Depth,Temperature,FCond,  Depth ft
1.13,22.9057,-999,3.71825
1.18,22.879,78.6376,3.88231
1.23,22.8836,78.6849,4.04636
1.28,22.8836,78.6768,4.21038
1.33,22.9018,78.6768,4.37444
1.38,22.8836,78.6446,4.53846
1.43,22.8836,78.6768,4.70252
1.48,22.8593,78.6768,4.86657
1.53,22.8593,78.7199,5.03059
1.58,22.8593,78.7199,5.19465
1.63,22.8836,78.7199,5.35867
1.68,22.8368,78.6768,5.52273
1.73,22.8593,78.7599,5.68678
1.78,22.8368,78.7199,5.8508
1.83,22.8335,78.7599,6.01486
1.88,22.8351,78.7657,6.17888
1.93,22.8368,78.763,6.34294
1.98,22.8108,78.7599,6.50699
2.03,22.8108,78.8061,6.67101
2.08,22.8108,78.8061,6.83507
2.13,22.8108,78.8061,6.99909
2.18,22.7848,78.8061,7.16315
2.23,22.8108,78.8524,7.3272
2.28,22.7588,78.8061,7.49122
2.33,22.7848,78.8987,7.65528
2.38,22.7828,78.8524,7.8193
2.43,22.7588,78.8559,7.98336
2.48,22.7548,78.8987,8.14741
2.53,22.7548,78.9058,8.31143
2.58,22.7328,78.9058,8.47549
2.63,22.7548,78.9451,8.63951
2.68,22.7068,78.9058,8.80357
2.73,22.7328,78.9915,8.96762
2.78,22.7137,78.9451,9.13164
2.83,22.6808,78.9791,9.2957
2.88,22.7068,79.038,9.45972
2.93,22.6548,78.9915,9.62378
2.98,22.6708,79.0845,9.78783
3.03,22.6808,79.0559,9.95185
3.08,22.6808,79.038,10.1159
3.13,22.6548,79.038,10.2799
3.18,22.6895,83.9072,10.444
3.23,22.6548,469.969,10.608
3.28,22.6808,566.76,10.7721
3.33,22.6808,568.607,10.9361
3.38,22.6808,567.152,11.1001
3.43,22.6808,569.155,11.2642
3.48,22.6895,567.515,11.4282
3.53,22.6808,568.459,11.5923
3.58,22.6895,567.333,11.7563
3.63,22.7068,568.97,11.9204
3.68,22.6808,570.837,12.0844
3.73,22.6895,568.607,12.2485
