     Depth,Temperature,TN FCond 25'C,  Depth ft
         m,      deg C,        uS/cm,        ft
     2.675,    23.3446,         -999,   8.77488
     2.725,    23.3204,       77.868,   8.93891
     2.775,    23.3204,      77.9102,   9.10296
     2.825,    23.3113,      77.9102,   9.26701
     2.875,    23.2961,       77.926,   9.43104
     2.925,    23.2885,      77.9524,   9.59509
     2.975,    23.2885,      77.9656,   9.75912
     3.025,    23.2885,      77.9656,   9.92317
     3.075,    23.2759,      77.9656,   10.0872
     3.125,    23.2718,      77.9876,   10.2512
     3.175,    23.2476,      77.9946,   10.4153
     3.225,    23.2476,      78.0369,   10.5793
     3.275,    23.2476,      78.0369,   10.7434
     3.325,    23.2203,      78.0369,   10.9074
     3.375,    23.2233,      78.0845,   11.0715
     3.425,     23.199,      78.0792,   11.2355
     3.475,     23.199,      78.1216,   11.3995
     3.525,    23.1975,      78.1216,   11.5636
     3.575,    23.1975,      78.1243,   11.7276
     3.625,     23.199,      78.1243,   11.8917
     3.675,    23.1748,      82.7356,   12.0557
     3.725,    23.1975,       324.11,   12.2197
     3.775,    23.1975,      544.544,   12.3838
     3.825,    23.1748,       544.84,   12.5479
     3.875,    23.1975,      544.952,   12.7119
     3.925,    23.1975,       544.84,   12.8759
     3.975,    23.2203,      544.692,     13.04
     4.025,     23.199,      544.267,    13.204
     4.075,    23.1975,      544.852,   13.3681
     4.125,     23.199,      544.544,   13.5321
     4.175,    23.1975,      544.852,   13.6961
     4.225,     23.199,      544.544,   13.8602
     4.275,     23.199,      543.275,   14.0242
     4.325,    23.2203,       545.01,   14.1883
     4.375,    23.2233,      544.267,   14.3523
     4.425,    23.1975,      545.031,   14.5163
     4.475,    23.2233,      544.989,   14.6804
     4.525,    23.2203,      544.714,   14.8444
     4.575,    23.2203,      544.563,   15.0085
     4.625,    23.1975,      544.267,   15.1725
     4.675,    23.2203,       544.84,   15.3366
     4.725,    23.2233,      544.415,   15.5006
     4.775,    23.2203,      543.452,   15.6646
     4.825,     23.243,      544.267,   15.8287
     4.875,    23.2203,      544.731,   15.9927
     4.925,     23.243,      544.267,   16.1568
     4.975,    23.2233,      543.842,   16.3208
     5.025,     23.243,       544.24,   16.4848
     5.075,     23.243,      543.252,   16.6489
     5.125,    23.2476,      543.842,   16.8129
     5.175,    23.2203,      544.103,    16.977
     5.225,     23.243,      544.415,    17.141
     5.275,    23.2476,      543.547,   17.3051
     5.325,    23.2604,      544.419,   17.4691
     5.375,     23.243,      542.936,   17.6331
     5.425,    23.2658,      544.434,   17.7972
     5.475,     23.243,      543.123,   17.9612
     5.525,    23.2476,      542.221,   18.1253
     5.575,    23.2658,      541.588,   18.2893
     5.625,     23.243,      541.065,   18.4533
     5.675,    23.2588,      541.194,   18.6174
     5.725,    23.2658,      539.678,   18.7814
     5.775,     23.274,      540.626,   18.9455
     5.825,     23.274,      541.965,   19.1095
     5.875,    23.2409,      539.624,   19.2736
     5.925,     23.274,      541.086,   19.4376
     5.975,    23.2658,      540.473,   19.6016
     6.025,    23.2818,      541.016,   19.7657
     6.075,    23.2604,      540.329,   19.9297
     6.125,    23.2868,      539.764,   20.0938
     6.175,    23.2588,      542.223,   20.2578
     6.225,    23.2868,      539.857,   20.4218
     6.275,    23.2788,      540.778,   20.5859
     6.325,    23.2868,      541.557,     20.75
     6.375,    23.2961,      540.778,    20.914
     6.425,    23.2868,      540.845,    21.078
     6.475,    23.2868,      542.042,   21.2421
     6.525,    23.2961,      542.223,   21.4061
     6.575,    23.3148,      541.432,   21.5702
     6.625,    23.2868,       540.44,   21.7342
     6.675,    23.3148,      541.499,   21.8982
     6.725,    23.3148,      543.699,   22.0623
     6.775,    23.3707,      543.335,   22.2263
     6.825,    23.3148,      544.298,   22.3904
     6.875,    23.3148,      542.972,   22.5544
     6.925,    23.3427,      542.972,   22.7184
     6.975,    23.3707,       542.27,   22.8825
     7.025,    23.3307,      543.567,   23.0465
     7.075,    23.3427,      542.104,   23.2106
     7.125,    23.3707,      542.451,   23.3746
     7.175,    23.3427,       543.75,   23.5387
     7.225,    23.3707,      542.633,   23.7027
     7.275,    23.3427,      542.294,   23.8667
     7.325,    23.3707,      542.633,   24.0308
     7.375,    23.3707,      544.115,   24.1948
     7.425,    23.3707,      542.476,   24.3589
     7.475,    23.3427,      542.657,   24.5229
     7.525,    23.3987,      542.996,   24.6869
     7.575,    23.3707,      543.776,    24.851
     7.625,    23.3707,      542.476,    25.015
     7.675,    23.3707,      542.476,   25.1791
     7.725,    23.3707,      542.294,   25.3431
     7.775,    23.3707,      542.839,   25.5072
     7.825,    23.3707,      540.666,   25.6712
     7.875,    23.3707,      541.027,   25.8352
     7.925,    23.3987,      541.208,   25.9993
     7.975,    23.3707,      542.501,   26.1633
     8.025,    23.3707,      540.846,   26.3274
     8.075,    23.3707,      541.027,   26.4914
     8.125,    23.4267,      541.027,   26.6554
     8.175,    23.3707,      542.344,   26.8195
     8.225,    23.3871,       541.75,   26.9835
     8.275,    23.3987,      542.097,   27.1476
     8.325,    23.3987,      541.594,   27.3116
     8.375,    23.4267,      541.775,   27.4757
     8.425,    23.3827,      543.072,   27.6397
     8.475,    23.3987,      541.644,   27.8037
     8.525,    23.4267,      541.956,   27.9678
     8.575,    23.3987,      542.526,   28.1318
     8.625,    23.3987,      541.412,   28.2959
     8.675,    23.3987,      541.594,   28.4599
     8.725,    23.4547,      541.956,   28.6239
     8.775,    23.3987,      543.281,    28.788
     8.825,    23.3987,      542.319,    28.952
     8.875,    23.4267,      542.501,   29.1161
     8.925,    23.4267,      542.163,   29.2801
     8.975,    23.3987,      543.072,   29.4442
     9.025,    23.4267,      542.137,   29.6082
     9.075,    23.4267,      542.163,   29.7723
     9.125,    23.4267,      542.163,   29.9363
     9.175,    23.4267,      543.985,   30.1003
     9.225,    23.4267,      542.344,   30.2644
     9.275,    23.4267,      542.344,   30.4284
     9.325,    23.4347,      542.526,   30.5925
     9.375,    23.4267,      543.549,   30.7565
     9.425,    23.4267,      542.344,   30.9205
     9.475,    23.4547,      542.526,   31.0846
     9.525,    23.4267,      543.829,   31.2486
     9.575,    23.4267,      542.708,   31.4127
     9.625,    23.4547,      542.708,   31.5767
     9.675,    23.4547,      542.552,   31.7408
     9.725,    23.4547,      544.012,   31.9048
     9.775,    23.4267,      542.734,   32.0688
     9.825,    23.4547,       542.89,   32.2329
     9.875,    23.4547,      542.734,   32.3969
     9.925,    23.4547,      544.378,    32.561
     9.975,    23.4267,      542.734,    32.725
    10.025,    23.4547,      543.254,    32.889
    10.075,    23.4867,      542.916,   33.0531
    10.125,    23.4547,      543.768,   33.2171
    10.175,    23.4827,      542.916,   33.3812
    10.225,    23.4607,       542.76,   33.5452
    10.275,    23.4827,      543.913,   33.7093
    10.325,    23.4781,      542.396,   33.8733
    10.375,    23.4827,      542.969,   34.0373
    10.425,    23.4827,      542.396,   34.2014
    10.475,    23.4827,      544.039,   34.3654
    10.525,    23.4827,       542.76,   34.5295
    10.575,    23.4827,      542.578,   34.6935
    10.625,    23.5107,      542.578,   34.8575
    10.675,    23.4827,      543.883,   35.0216
    10.725,    23.4607,      542.578,   35.1856
    10.775,    23.5107,      542.388,   35.3497
    10.825,    23.4827,      543.883,   35.5137
    10.875,    23.4827,      542.396,   35.6778
    10.925,    23.5127,      542.578,   35.8418
    10.975,    23.4827,      543.454,   36.0058
    11.025,    23.5107,      542.578,   36.1699
    11.075,    23.4781,      542.059,   36.3339
    11.125,    23.5107,      542.771,    36.498
    11.175,    23.5107,      542.423,    36.662
    11.225,    23.4827,      544.067,    36.826
    11.275,    23.5107,       542.76,   36.9901
    11.325,    23.4827,      542.423,   37.1541
    11.375,    23.5107,       542.76,   37.3182
    11.425,    23.4867,      544.067,   37.4822
    11.475,    23.5107,      542.582,   37.6463
    11.525,    23.5107,      542.605,   37.8103
    11.575,    23.5107,       544.25,   37.9744
    11.625,    23.4867,      542.605,   38.1384
    11.675,    23.5107,      542.751,   38.3024
    11.725,    23.5107,       544.25,   38.4665
    11.775,    23.4827,      542.787,   38.6305
    11.825,    23.5107,      542.943,   38.7946
    11.875,    23.5107,      542.787,   38.9586
    11.925,    23.5107,      544.433,   39.1227
    11.975,    23.5107,      542.787,   39.2867
    12.025,    23.4827,       542.97,   39.4507
    12.075,    23.5387,      543.125,   39.6148
    12.125,    23.5107,      544.278,   39.7788
    12.175,    23.4867,       542.97,   39.9429
    12.225,    23.5387,       542.92,   40.1069
    12.275,    23.5107,      544.462,   40.2709
    12.325,    23.5107,       542.97,    40.435
    12.375,    23.5387,      543.152,    40.599
    12.425,    23.5107,       543.99,   40.7631
    12.475,    23.5107,      543.152,   40.9271
    12.525,    23.5107,      543.152,   41.0911
    12.575,    23.5667,      543.152,   41.2552
    12.625,    23.5107,      544.124,   41.4192
    12.675,    23.5387,      543.335,   41.5833
    12.725,    23.5387,       543.18,   41.7473
    12.775,    23.5667,       543.18,   41.9114
    12.825,    23.5387,      544.491,   42.0754
    12.875,    23.5387,      543.362,   42.2394
    12.925,    23.5387,      543.545,   42.4035
    12.975,    23.5647,      543.545,   42.5675
    13.025,    23.5387,      544.358,   42.7316
    13.075,    23.5387,      543.728,   42.8956
    13.125,    23.5647,      543.362,   43.0597
    13.175,    23.5667,      544.187,   43.2237
    13.225,    23.5387,      543.025,   43.3877
    13.275,    23.5667,      542.997,   43.5518
    13.325,    23.5667,      544.307,   43.7158
    13.375,    23.5387,       542.66,   43.8799
    13.425,    23.5667,       543.18,   44.0439
    13.475,    23.5667,      542.477,   44.2079
    13.525,    23.5387,      544.307,    44.372
    13.575,    23.5667,      543.362,    44.536
    13.625,    23.5667,       542.66,   44.7001
    13.675,    23.5647,      542.842,   44.8641
    13.725,    23.5667,      544.017,   45.0282
    13.775,    23.5667,      543.025,   45.1922
    13.825,    23.5647,      542.842,   45.3562
    13.875,    23.5667,      543.846,   45.5203
    13.925,    23.5667,      542.295,   45.6843
    13.975,    23.5947,      542.842,   45.8484
    14.025,    23.5387,      544.704,   46.0124
    14.075,    23.5647,      541.722,   46.1764
    14.125,    23.5691,      541.305,   46.3405
    14.175,    23.5667,      541.281,   46.5045
    14.225,    23.5667,      544.491,   46.6686
    14.275,    23.5387,      540.297,   46.8326
    14.325,    23.5647,      540.633,   46.9967
