Depth,Temperature,FCond,  Depth ft
1.497,23.4781,-999,4.9103
1.547,23.4983,77.637,5.07435
1.597,23.4686,77.6021,5.2384
1.647,23.4867,77.6534,5.40243
1.697,23.4607,77.622,5.56648
1.747,23.4867,77.6669,5.73051
1.797,23.4547,77.622,5.89456
1.847,23.4607,77.6773,6.05861
1.897,23.4547,77.6669,6.22264
1.947,23.4607,77.6773,6.38669
1.997,23.4607,77.6669,6.55072
2.047,23.4347,77.6669,6.71477
2.097,23.4607,77.7118,6.87882
2.147,23.4267,77.6669,7.04285
2.197,23.4607,77.7257,7.2069
2.247,23.4087,77.6669,7.37093
2.297,23.4607,77.7568,7.53498
2.347,23.4087,77.6669,7.69903
2.397,23.4417,77.7568,7.86306
2.447,23.4347,77.6998,8.02711
2.497,23.4827,77.7118,8.19114
2.547,23.4087,77.6289,8.35519
2.597,23.4267,77.7568,8.51924
2.647,23.4087,77.7257,8.68327
2.697,23.3827,77.7568,8.84732
2.747,23.4087,77.8019,9.01135
2.797,23.3827,77.7568,9.1754
2.847,23.3827,77.8019,9.33945
2.897,23.3689,77.8019,9.50348
2.947,23.3567,77.8259,9.66753
2.997,23.3446,77.8469,9.83156
3.047,23.3689,77.868,9.99561
3.097,23.3204,77.8259,10.1597
3.147,23.3567,77.9102,10.3237
3.197,23.3048,77.8469,10.4877
3.247,23.3567,77.9373,10.6518
3.297,23.3446,85.6201,10.8158
3.347,23.3048,496.399,10.9799
3.397,23.3427,665.005,11.1439
3.447,23.3567,665.026,11.3079
3.497,23.3307,666.771,11.472
3.547,23.3689,664.873,11.636
3.597,23.3567,665.913,11.8001
3.647,23.3307,666.771,11.9641
3.697,23.3689,664.62,12.1282
3.747,23.3446,665.913,12.2922
3.797,23.3567,665.799,12.4562
3.847,23.3446,664.234,12.6203
3.897,23.3567,666.036,12.7843
3.947,23.3446,664.234,12.9484
3.997,23.3567,666.273,13.1124
4.047,23.3446,666.517,13.2764
4.097,23.3567,664.145,13.4405
4.147,23.3567,666.771,13.6045
4.197,23.3567,664.234,13.7686
4.247,23.3689,666.771,13.9326
4.297,23.3567,665.913,14.0967
4.347,23.3567,664.234,14.2607
4.397,23.3446,666.517,14.4247
4.447,23.3827,664.145,14.5888
4.497,23.3689,666.385,14.7528
4.547,23.3567,666.15,14.9169
4.597,23.3689,664.74,15.0809
4.647,23.3931,666.15,15.2449
4.697,23.3689,666.027,15.409
4.747,23.3827,664.021,15.573
4.797,23.3931,666.64,15.7371
4.847,23.3567,666.027,15.9011
4.897,23.4022,664.487,16.0652
4.947,23.4087,665.27,16.2292
4.997,23.3567,666.509,16.3932
5.047,23.4087,664.74,16.5573
5.097,23.3689,666.254,16.7213
5.147,23.4087,664.021,16.8854
5.197,23.3931,666.509,17.0494
5.247,23.3827,666.027,17.2134
5.297,23.3931,664.608,17.3775
5.347,23.3931,666.027,17.5415
5.397,23.3689,666.027,17.7056
5.447,23.4174,664.021,17.8696
