Depth,Temperature,FCond,AML Gyro Tilt
2.635,23.3014,-999,-999
2.685,23.2912,77.9432,-999
2.735,23.3014,77.9608,-999
2.785,23.3014,77.9432,-999
2.835,23.2855,77.9432,-999
2.885,23.2539,77.9707,-999
2.935,23.2575,78.0259,-999
2.985,23.2575,78.0196,-999
3.035,23.2409,78.0196,-999
3.085,23.2244,78.0484,-999
3.135,23.2409,78.0773,-999
3.185,23.2222,78.0484,-999
3.235,23.2079,78.0811,-999
3.285,23.2079,78.1062,-999
3.335,23.1906,78.1062,-999
3.385,23.1748,78.1364,-999
3.435,23.1748,78.1641,-999
3.485,23.1456,78.1641,-999
3.535,23.1431,78.215,-999
3.585,23.1596,78.2195,-999
3.635,23.1444,78.1906,-999
3.685,23.1273,79.2395,-999
3.735,23.1251,266.903,-999
3.785,23.1115,595.82,-999
3.835,23.1273,775.61,-999
3.885,23.1444,841.167,-999
3.935,23.1273,843.469,-999
3.985,23.1431,839.942,-999
4.035,23.1589,840.624,-999
4.085,23.1444,843.278,-999
4.135,23.1748,843.233,-999
4.185,23.1444,842.979,-999
4.235,23.1596,842.996,-999
4.285,23.1431,842.71,-999
4.335,23.1589,842.59,-999
4.385,23.1431,843.278,-999
4.435,23.1589,843.083,-999
4.485,23.1273,842.784,-999
4.535,23.1748,841.167,-999
4.585,23.1417,844.361,-999
4.635,23.1582,843.177,-999
4.685,23.1582,844.932,-999
4.735,23.1748,844.415,-999
4.785,23.1589,846.957,-999
4.835,23.1582,846.499,-999
4.885,23.1589,847.01,-999
4.935,23.1582,849.494,-999
4.985,23.1748,848.053,-999
5.035,23.1589,847.739,-999
5.085,23.1582,847.495,-999
5.135,23.1748,845.71,-999
5.185,23.1748,847.739,-999
5.235,23.1748,844.71,-999
5.285,23.1748,847.195,-999
5.335,23.1589,848,-999
5.385,23.1913,845.257,-999
5.435,23.1906,847.686,-999
5.485,23.1748,847.892,-999
5.535,23.2079,846.957,-999
5.585,23.1748,849.202,-999
5.635,23.1748,846.945,-999
5.685,23.1748,848.261,-999
5.735,23.1748,845.03,-999
5.785,23.1748,846.696,-999
5.835,23.1899,844.957,-999
5.885,23.1906,847.125,-999
5.935,23.1913,847.643,-999
5.985,23.1748,848.731,-999
6.035,23.1906,846.448,-999
6.085,23.1906,848.892,-999
6.135,23.1748,849.143,-999
6.185,23.1748,849.193,-999
6.235,23.1589,848.062,-999
6.285,23.1417,848.993,-999
6.335,23.1589,846.803,-999
6.385,23.1582,848.243,-999
6.435,23.1748,846.23,-999
6.485,23.1748,848.193,-999
6.535,23.1748,848.13,-999
6.585,23.1582,848.693,-999
6.635,23.1748,847.01,-999
6.685,23.1913,848.443,-999
6.735,23.1589,848.993,-999
6.785,23.1748,846.499,-999
6.835,23.1913,848.443,-999
6.885,23.1582,848.731,-999
6.935,23.1748,847.01,-999
6.985,23.1748,848.443,-999
7.035,23.1748,846.696,-999
7.085,23.1913,848.693,-999
7.135,23.1589,848.731,-999
7.185,23.1748,846.499,-999
7.235,23.1748,847.891,-999
7.285,23.1906,848.693,-999
7.335,23.1748,848.142,-999
7.385,23.1748,847.891,-999
7.435,23.1748,848.13,-999
7.485,23.1748,847.487,-999
7.535,23.1967,848.993,-999
7.585,23.2112,848.262,-999
7.635,23.193,848.014,-999
7.685,23.2112,848.36,-999
7.735,23.193,848.302,-999
7.785,23.2094,848.36,-999
7.835,23.2112,847.404,-999
7.885,23.193,848.302,-999
7.935,23.2112,848.36,-999
7.985,23.193,848.302,-999
8.035,23.2112,848.36,-999
8.085,23.2094,848.302,-999
8.135,23.2112,850.146,-999
8.185,23.2094,848.014,-999
8.235,23.2112,847.678,-999
8.285,23.1921,848.302,-999
8.335,23.2112,847.733,-999
8.385,23.2094,848.302,-999
8.435,23.2094,847.678,-999
8.485,23.2112,850.146,-999
8.535,23.2094,848.302,-999
8.585,23.2094,847.678,-999
8.635,23.2079,847.951,-999
8.685,23.2162,849.464,-999
8.735,23.2112,849.318,-999
8.785,23.2051,849.454,-999
8.835,23.2176,849.473,-999
8.885,23.2268,848.586,-999
8.935,23.2008,851.056,-999
8.985,23.2028,847.842,-999
9.035,23.2008,852.82,-999
9.085,23.2028,847.842,-999
9.135,23.2308,848.373,-999
9.185,23.2008,852.287,-999
9.235,23.2028,847.842,-999
9.285,23.2308,848.815,-999
9.335,23.1748,852.287,-999
9.385,23.2028,849.347,-999
9.435,23.2268,848.373,-999
9.485,23.2028,851.47,-999
9.535,23.2028,848.373,-999
9.585,23.2008,848.815,-999
9.635,23.2028,851.965,-999
9.685,23.2028,848.815,-999
9.735,23.2268,848.815,-999
9.785,23.1748,851.056,-999
9.835,23.2028,848.746,-999
9.885,23.2028,848.815,-999
9.935,23.2028,853.268,-999
9.985,23.2008,848.373,-999
10.035,23.2028,848.253,-999
10.085,23.2028,853.268,-999
10.135,23.1748,848.815,-999
10.185,23.2028,849.791,-999
10.235,23.2008,849.258,-999
10.285,23.2028,851.965,-999
10.335,23.1748,849.258,-999
10.385,23.2008,849.791,-999
10.435,23.1748,852.38,-999
10.485,23.2008,849.791,-999
10.535,23.1748,851.965,-999
10.585,23.1748,849.791,-999
10.635,23.2028,848.746,-999
10.685,23.1748,853.268,-999
10.735,23.1488,849.347,-999
10.785,23.2028,849.24,-999
10.835,23.1748,853.268,-999
10.885,23.1748,849.347,-999
10.935,23.1468,849.347,-999
10.985,23.2028,849.88,-999
11.035,23.1488,852.82,-999
11.085,23.1748,849.24,-999
11.135,23.1748,849.347,-999
11.185,23.1468,852.047,-999
11.235,23.1748,849.88,-999
11.285,23.1748,849.347,-999
11.335,23.1468,852.461,-999
11.385,23.1748,849.88,-999
11.435,23.1468,852.047,-999
11.485,23.1748,850.324,-999
11.535,23.1468,849.791,-999
11.585,23.1748,850.324,-999
11.635,23.1468,848.336,-999
11.685,23.1468,850.768,-999
11.735,23.1748,850.324,-999
11.785,23.1488,852.908,-999
11.835,23.1748,846.78,-999
11.885,23.1748,848.904,-999
11.935,23.1748,854.251,-999
11.985,23.1748,849.157,-999
12.035,23.1748,850.235,-999
12.085,23.1748,853.706,-999
12.135,23.1468,849.791,-999
12.185,23.2008,850.768,-999
12.235,23.1748,852.795,-999
12.285,23.1748,850.679,-999
12.335,23.2028,850.679,-999
12.385,23.1748,854.164,-999
12.435,23.1748,849.569,-999
12.485,23.2308,850.679,-999
12.535,23.1748,853.629,-999
12.585,23.2028,849.569,-999
12.635,23.2308,850.146,-999
12.685,23.2008,853.629,-999
12.735,23.2308,849.075,-999
12.785,23.2528,849.614,-999
12.835,23.2308,851.804,-999
12.885,23.2788,849.614,-999
12.935,23.2588,851.724,-999
12.985,23.2588,849.527,-999
13.035,23.3048,849.083,-999
13.085,23.2528,852.06,-999
13.135,23.2868,848.911,-999
13.185,23.2788,847.666,-999
13.235,23.2788,851.309,-999
13.285,23.2788,846.365,-999
13.335,23.2788,850.481,-999
13.385,23.3048,845.956,-999
13.435,23.2788,849.575,-999
13.485,23.3204,846.365,-999
13.535,23.3048,847.384,-999
13.585,23.3048,848.338,-999
13.635,23.3148,844.24,-999
13.685,23.3567,844.931,-999
13.735,23.3307,846.943,-999
13.785,23.3567,844.158,-999
13.835,23.3307,847.354,-999
13.885,23.3567,843.75,-999
13.935,23.3307,847.354,-999
13.985,23.3567,843.75,-999
14.035,23.3427,847.766,-999
14.085,23.3827,844.403,-999
14.135,23.3307,847.275,-999
14.185,23.3567,844.158,-999
14.235,23.3567,847.354,-999
14.285,23.3567,843.669,-999
14.335,23.3567,847.354,-999
14.385,23.3567,844.077,-999
14.435,23.3567,847.354,-999
14.485,23.3827,843.669,-999
14.535,23.3567,847.275,-999
14.585,23.3707,843.669,-999
14.635,23.3827,844.316,-999
14.685,23.3567,847.275,-999
14.735,23.3827,844.077,-999
14.785,23.3827,847.275,-999
14.835,23.3987,843.18,-999
14.885,23.3827,848.208,-999
14.935,23.3827,843.588,-999
14.985,23.4087,847.275,-999
15.035,23.4087,843.1,-999
15.085,23.3827,847.196,-999
15.135,23.4087,843.588,-999
15.185,23.4087,846.784,-999
15.235,23.4087,843.1,-999
15.285,23.4087,846.784,-999
15.335,23.3987,843.1,-999
15.385,23.4347,843.789,-999
15.435,23.4087,846.294,-999
15.485,23.4347,843.507,-999
15.535,23.4267,846.294,-999
15.585,23.4347,843.703,-999
15.635,23.4087,847.117,-999
15.685,23.4347,843.507,-999
15.735,23.4347,846.705,-999
15.785,23.4347,843.019,-999
15.835,23.4087,846.705,-999
15.885,23.4607,843.916,-999
15.935,23.4087,846.216,-999
15.985,23.4347,843.916,-999
16.035,23.4347,847.117,-999
16.085,23.4267,843.019,-999
16.135,23.4607,844.584,-999
16.185,23.4347,846.627,-999
16.235,23.4607,843.427,-999
16.285,23.4347,846.627,-999
16.335,23.4607,843.836,-999
16.385,23.4547,846.627,-999
16.435,23.4607,844.058,-999
16.485,23.4417,847.039,-999
16.535,23.4827,842.808,-999
16.585,23.4347,847.957,-999
16.635,23.4659,843.836,-999
16.685,23.4347,846.173,-999
16.735,23.4867,843.836,-999
16.785,23.4607,846.961,-999
16.835,23.4827,843.348,-999
16.885,23.4607,847.957,-999
16.935,23.4607,843.756,-999
16.985,23.4827,847.451,-999
17.035,23.4607,844.414,-999
17.085,23.4867,843.756,-999
17.135,23.4867,846.961,-999
17.185,23.4867,843.269,-999
17.235,23.4867,846.549,-999
17.285,23.5107,843.269,-999
17.335,23.4867,847.874,-999
17.385,23.4827,842.86,-999
17.435,23.5127,844.414,-999
17.485,23.4827,846.472,-999
17.535,23.4827,843.973,-999
17.585,23.5127,844.414,-999
17.635,23.5107,846.472,-999
17.685,23.4827,843.888,-999
17.735,23.5127,844.414,-999
17.785,23.5107,846.472,-999
17.835,23.5127,843.888,-999
17.885,23.5107,846.884,-999
17.935,23.4867,844.329,-999
17.985,23.5387,843.269,-999
18.035,23.4867,847.792,-999
18.085,23.5387,843.677,-999
18.135,23.5127,843.364,-999
18.185,23.5127,847.297,-999
18.235,23.5667,843.19,-999
18.285,23.5127,846.821,-999
18.335,23.5387,843.19,-999
18.385,23.5387,846.807,-999
18.435,23.5107,843.804,-999
18.485,23.5387,844.329,-999
18.535,23.5387,846.395,-999
18.585,23.5387,843.804,-999
18.635,23.5387,844.246,-999
18.685,23.5387,846.807,-999
18.735,23.5387,844.246,-999
18.785,23.5667,843.112,-999
18.835,23.5387,848.156,-999
18.885,23.5647,843.112,-999
18.935,23.5387,847.144,-999
18.985,23.5387,843.112,-999
19.035,23.5647,844.687,-999
19.085,23.5647,846.731,-999
19.135,23.5647,843.034,-999
19.185,23.5667,846.731,-999
19.235,23.5647,844.163,-999
19.285,23.5647,847.144,-999
19.335,23.5647,843.034,-999
19.385,23.5647,847.557,-999
19.435,23.5907,843.444,-999
19.485,23.5647,846.656,-999
19.535,23.5667,843.853,-999
19.585,23.5873,844.604,-999
19.635,23.5907,846.198,-999
19.685,23.5647,847.482,-999
19.735,23.5873,843.444,-999
19.785,23.5907,846.583,-999
19.835,23.5907,843.367,-999
19.885,23.5907,847.069,-999
19.935,23.6167,843.367,-999
19.985,23.5667,846.994,-999
20.035,23.6167,845.047,-999
20.085,23.5907,846.581,-999
20.135,23.6167,843.776,-999
20.185,23.5907,846.581,-999
20.235,23.6167,843.776,-999
20.285,23.6167,846.994,-999
20.335,23.6167,842.881,-999
20.385,23.6167,846.581,-999
20.435,23.6167,842.881,-999
20.485,23.6167,846.581,-999
20.535,23.6167,843.29,-999
20.585,23.6167,846.994,-999
20.635,23.6227,842.881,-999
20.685,23.6167,843.998,-999
20.735,23.6167,846.994,-999
20.785,23.6427,842.881,-999
20.835,23.6167,846.506,-999
20.885,23.6427,843.29,-999
20.935,23.6167,846.506,-999
20.985,23.6427,842.881,-999
21.035,23.6167,846.506,-999
21.085,23.6427,843.29,-999
21.135,23.6427,846.506,-999
21.185,23.6427,842.805,-999
21.235,23.6167,846.093,-999
21.285,23.6687,843.29,-999
21.335,23.6167,846.019,-999
21.385,23.6787,843.7,-999
21.435,23.6427,846.944,-999
21.485,23.6427,842.805,-999
21.535,23.6427,846.919,-999
21.585,23.6687,842.805,-999
21.635,23.6427,846.019,-999
21.685,23.6687,843.214,-999
21.735,23.6427,846.019,-999
21.785,23.6687,843.214,-999
21.835,23.6687,846.019,-999
21.885,23.6687,842.729,-999
21.935,23.6427,846.432,-999
21.985,23.6687,843.214,-999
22.035,23.6687,846.432,-999
22.085,23.6687,843.139,-999
22.135,23.6687,846.432,-999
22.185,23.6687,843.139,-999
22.235,23.6787,846.845,-999
22.285,23.6687,843.836,-999
22.335,23.6947,843.139,-999
22.385,23.6687,846.772,-999
22.435,23.6687,843.139,-999
22.485,23.6687,846.845,-999
22.535,23.6947,843.139,-999
22.585,23.6947,846.358,-999
22.635,23.6947,842.654,-999
22.685,23.6687,846.358,-999
22.735,23.7207,843.549,-999
22.785,23.6687,845.871,-999
22.835,23.7207,843.549,-999
22.885,23.6687,846.285,-999
22.935,23.7207,843.139,-999
22.985,23.6787,846.285,-999
23.035,23.7207,844.279,-999
23.085,23.6687,846.285,-999
23.135,23.7207,843.959,-999
23.185,23.6947,846.285,-999
23.235,23.7207,843.064,-999
23.285,23.7207,846.698,-999
23.335,23.7207,842.579,-999
23.385,23.6947,846.698,-999
23.435,23.7207,843.064,-999
23.485,23.7207,846.698,-999
23.535,23.7207,842.989,-999
23.585,23.7207,846.698,-999
23.635,23.7207,842.579,-999
23.685,23.7207,846.698,-999
23.735,23.7467,842.989,-999
23.785,23.7207,846.212,-999
23.835,23.7207,842.989,-999
23.885,23.7207,847.113,-999
23.935,23.7467,842.579,-999
23.985,23.7207,846.212,-999
24.035,23.7467,842.989,-999
24.085,23.7207,846.212,-999
24.135,23.7727,842.989,-999
24.185,23.7207,845.726,-999
24.235,23.7467,842.989,-999
24.285,23.7467,846.626,-999
24.335,23.7347,842.505,-999
24.385,23.7467,843.676,-999
24.435,23.7467,846.626,-999
24.485,23.7467,842.505,-999
24.535,23.7467,846.626,-999
24.585,23.7467,842.505,-999
24.635,23.7467,846.626,-999
24.685,23.7727,842.915,-999
24.735,23.7467,846.14,-999
24.785,23.7467,842.915,-999
24.835,23.7467,846.626,-999
24.885,23.7727,842.915,-999
24.935,23.7814,846.14,-999
24.985,23.7467,845.647,-999
25.035,23.7727,842.915,-999
25.085,23.7467,846.554,-999
25.135,23.7727,843.326,-999
25.185,23.7627,846.14,-999
25.235,23.7727,844.04,-999
25.285,23.7571,842.431,-999
25.335,23.7987,845.714,-999
25.385,23.7727,846.068,-999
25.435,23.7727,842.841,-999
25.485,23.7727,846.968,-999
25.535,23.7987,843.252,-999
25.585,23.7987,846.482,-999
25.635,23.7987,842.768,-999
25.685,23.7727,846.068,-999
25.735,23.7987,842.841,-999
25.785,23.7727,846.482,-999
25.835,23.8247,842.841,-999
25.885,23.7727,845.997,-999
25.935,23.7987,842.841,-999
25.985,23.7987,846.482,-999
26.035,23.7987,842.358,-999
26.085,23.7987,846.482,-999
26.135,23.7987,842.768,-999
26.185,23.7987,846.482,-999
26.235,23.7987,842.768,-999
26.285,23.7987,846.482,-999
26.335,23.8247,843.179,-999
26.385,23.7987,845.997,-999
26.435,23.8247,842.768,-999
26.485,23.7987,845.997,-999
26.535,23.8247,842.768,-999
26.585,23.7987,845.997,-999
26.635,23.8507,843.179,-999
26.685,23.7987,846.341,-999
26.735,23.8507,843.591,-999
26.785,23.8247,845.926,-999
26.835,23.8247,843.107,-999
26.885,23.8247,846.826,-999
26.935,23.8507,843.107,-999
26.985,23.8247,846.341,-999
27.035,23.8507,843.107,-999
27.085,23.8299,846.341,-999
27.135,23.8507,842.435,-999
27.185,23.8247,846.341,-999
27.235,23.8507,843.107,-999
27.285,23.8467,847.171,-999
27.335,23.8507,843.363,-999
27.385,23.8507,846.756,-999
27.435,23.8507,843.035,-999
27.485,23.8507,846.341,-999
27.535,23.8507,843.035,-999
27.585,23.8507,846.756,-999
27.635,23.8507,842.624,-999
27.685,23.8507,847.171,-999
27.735,23.8507,843.035,-999
27.785,23.8507,847.171,-999
27.835,23.8767,843.035,-999
27.885,23.8507,846.686,-999
27.935,23.8767,843.447,-999
27.985,23.8507,846.686,-999
28.035,23.8767,843.447,-999
28.085,23.8507,846.686,-999
28.135,23.9027,843.859,-999
28.185,23.8507,846.201,-999
28.235,23.8767,844.272,-999
28.285,23.8767,847.101,-999
28.335,23.8767,843.376,-999
28.385,23.8767,847.517,-999
28.435,23.9027,843.376,-999
28.485,23.8507,846.616,-999
28.535,23.9027,844.272,-999
28.585,23.8784,846.201,-999
28.635,23.9027,842.684,-999
28.685,23.8767,846.616,-999
28.735,23.9027,843.376,-999
28.785,23.8747,846.616,-999
28.835,23.9027,844.174,-999
28.885,23.8767,847.032,-999
28.935,23.9027,843.376,-999
28.985,23.9027,845.703,-999
29.035,23.9027,842.893,-999
29.085,23.8767,846.616,-999
29.135,23.9287,843.376,-999
29.185,23.8767,846.547,-999
29.235,23.9287,843.376,-999
29.285,23.9027,846.132,-999
29.335,23.9287,842.893,-999
29.385,23.9027,846.547,-999
29.435,23.9287,843.305,-999
29.485,23.9027,846.547,-999
29.535,23.9287,843.305,-999
29.585,23.9027,846.547,-999
29.635,23.9287,842.893,-999
29.685,23.9287,846.547,-999
29.735,23.9287,842.41,-999
29.785,23.9027,846.547,-999
29.835,23.9547,843.717,-999
29.885,23.9027,846.063,-999
29.935,23.9547,843.305,-999
29.985,23.9027,846.479,-999
30.035,23.9547,843.305,-999
30.085,23.9287,846.479,-999
30.135,23.9287,843.647,-999
30.185,23.9287,846.963,-999
30.235,23.9547,843.234,-999
30.285,23.9287,846.895,-999
30.335,23.9287,842.822,-999
30.385,23.9287,846.963,-999
30.435,23.9547,843.647,-999
30.485,23.9287,846.479,-999
30.535,23.9547,843.234,-999
30.585,23.9287,846.479,-999
30.635,23.9547,843.234,-999
30.685,23.9287,846.479,-999
30.735,23.9547,843.234,-999
30.785,23.9547,846.479,-999
30.835,23.9287,843.165,-999
30.885,23.9547,846.963,-999
30.935,23.9547,842.752,-999
30.985,23.9287,846.479,-999
31.035,23.9547,843.234,-999
31.085,23.9287,846.895,-999
31.135,23.9807,843.647,-999
31.185,23.9287,845.995,-999
31.235,23.9807,843.647,-999
31.285,23.9547,846.411,-999
31.335,23.9547,843.165,-999
31.385,23.9587,847.311,-999
31.435,23.9755,843.948,-999
31.485,23.9547,845.51,-999
31.535,23.9547,843.165,-999
31.585,23.9547,846.895,-999
31.635,23.9807,843.577,-999
31.685,23.9547,846.411,-999
31.735,23.9807,843.577,-999
31.785,23.9807,846.411,-999
31.835,23.9807,842.27,-999
31.885,23.9807,846.827,-999
31.935,24.0067,842.683,-999
31.985,23.9937,846.343,-999
32.035,23.9807,844.301,-999
32.085,24.0147,842.683,-999
32.135,23.9867,847.381,-999
32.185,24.0067,843.874,-999
32.235,24.0147,842.201,-999
32.285,24.0067,847.381,-999
32.335,24.0067,842.614,-999
32.385,24.0067,845.927,-999
32.435,23.9867,842.614,-999
32.485,24.0327,843.874,-999
32.535,24.0067,845.86,-999
32.585,24.0147,843.026,-999
32.635,24.0327,847.83,-999
32.685,23.9867,842.132,-999
32.735,24.0327,844.32,-999
32.785,24.0327,846.693,-999
32.835,24.0327,842.545,-999
32.885,24.0067,846.693,-999
32.935,24.0327,843.026,-999
32.985,24.0067,846.693,-999
33.035,24.0327,843.026,-999
33.085,24.0327,846.276,-999
33.135,24.0327,842.132,-999
33.185,24.0327,846.693,-999
33.235,24.0327,842.545,-999
33.285,24.0726,846.693,-999
33.335,24.0327,844.483,-999
33.385,24.0427,842.545,-999
33.435,24.0587,843.727,-999
33.485,24.0587,846.21,-999
33.535,24.0587,842.89,-999
33.585,24.0587,846.21,-999
33.635,24.0587,842.89,-999
33.685,24.0587,846.626,-999
33.735,24.0847,842.064,-999
33.785,24.0587,845.727,-999
33.835,24.0587,842.477,-999
33.885,24.0587,846.626,-999
33.935,24.0847,842.477,-999
33.985,24.0587,845.727,-999
