     Depth,PVelocity,SVelocity
5.04,-999,-999
5.09,-999,-999
5.14,-999,-999
5.19,-999,-999
5.24,-999,-999
5.29,-999,-999
5.34,-999,-999
5.39,-999,-999
5.44,-999,-999
5.49,-999,-999
5.54,-999,-999
5.59,-999,-999
5.64,-999,-999
5.69,-999,-999
5.74,-999,-999
5.79,6410.26,3521.13
5.84,6410.26,3472.22
5.89,6410.26,3472.22
5.94,6410.26,3521.13
5.99,6410.26,3521.13
6.04,6410.26,3571.43
6.09,6578.95,3571.43
6.14,6578.95,3521.13
6.19,6578.95,3521.13
6.24,6250,3623.19
6.29,5952.38,3521.13
6.34,6097.56,3472.22
6.39,6410.26,3521.13
6.44,6097.56,3571.43
6.49,6578.95,3571.43
6.54,6410.26,3521.13
6.59,6756.76,3571.43
6.64,6756.76,3571.43
6.69,6756.76,3676.47
6.74,6410.26,3623.19
6.79,6756.76,3676.47
6.84,7142.86,3787.88
6.89,7142.86,3787.88
6.94,7142.86,3787.88
6.99,7352.94,3787.88
7.04,7142.86,3787.88
7.09,6458.33,3787.88
7.14,5904.76,3676.47
7.19,5904.76,3472.22
7.24,5813.95,3333.33
7.29,5681.82,3289.47
7.34,5555.56,3289.47
7.39,5681.82,3378.38
7.44,5681.82,3378.38
7.49,5434.78,3378.38
7.54,5813.95,3472.22
7.59,6410.26,3676.47
7.64,6410.26,3676.47
7.69,6944.44,3731.34
7.74,6756.76,3731.34
7.79,6410.26,3676.47
7.84,6097.56,3731.34
7.89,6410.26,3731.34
7.94,6410.26,3676.47
7.99,6578.95,3676.47
8.04,6578.95,3676.47
8.09,6578.95,3676.47
8.14,6578.95,3676.47
8.19,6578.95,3676.47
8.24,6578.95,3676.47
8.29,6410.26,3676.47
8.34,6410.26,3676.47
8.39,6578.95,3676.47
8.44,6410.26,3676.47
8.49,6250,3676.47
8.54,6125,3676.47
8.59,6125,3676.47
8.64,6125,3731.34
8.69,6578.95,3731.34
8.74,6578.95,3787.88
8.79,6097.56,3787.88
