Depth,PVelocity,SVelocity
3.99,-999,-999
4.04,-999,-999
4.09,-999,-999
4.14,-999,-999
4.19,-999,-999
4.24,-999,-999
4.29,-999,-999
4.34,-999,-999
4.39,-999,-999
4.44,-999,-999
4.49,-999,-999
4.54,-999,-999
4.59,-999,-999
4.64,-999,-999
4.69,-999,-999
4.74,6250,3378.38
4.79,6250,3378.38
4.84,6250,3378.38
4.89,6250,3378.38
4.94,6250,3378.38
4.99,6250,3333.33
5.04,6097.56,3378.38
5.09,6097.56,3333.33
5.14,6097.56,3333.33
5.19,6097.56,3333.33
5.24,6097.56,3333.33
5.29,6097.56,3289.47
5.34,6097.56,3289.47
5.39,6097.56,3289.47
5.44,6250,3333.33
5.49,6250,3333.33
5.54,6250,3333.33
5.59,6250,3333.33
5.64,6250,3378.38
5.69,6410.26,3378.38
5.74,6410.26,3424.66
5.79,6410.26,3424.66
5.84,6578.95,3472.22
5.89,6578.95,3472.22
5.94,6578.95,3472.22
5.99,6578.95,3521.13
6.04,6578.95,3521.13
6.09,6578.95,3521.13
6.14,6578.95,3521.13
6.19,6756.76,3521.13
6.24,6756.76,3521.13
6.29,6756.76,3571.43
6.34,6756.76,3571.43
6.39,6756.76,3571.43
6.44,6944.44,3571.43
6.49,6944.44,3571.43
6.54,6944.44,3623.19
6.59,6944.44,3623.19
6.64,6756.76,3623.19
6.69,6756.76,3623.19
6.74,6756.76,3623.19
6.79,6756.76,3623.19
6.84,6756.76,3623.19
6.89,6578.95,3623.19
6.94,6578.95,3623.19
6.99,6578.95,3623.19
7.04,6578.95,3571.43
7.09,6578.95,3571.43
7.14,6578.95,3571.43
7.19,6578.95,3521.13
7.24,6756.76,3521.13
7.29,6756.76,3521.13
7.34,6756.76,3521.13
7.39,6756.76,3521.13
7.44,6756.76,3521.13
7.49,6944.44,3521.13
7.54,6944.44,3571.43
7.59,7142.86,3571.43
7.64,7142.86,3571.43
7.69,7352.94,3571.43
7.74,7352.94,3623.19
7.79,7575.76,3623.19
7.84,7575.76,3623.19
7.89,7575.76,3623.19
7.94,7575.76,3623.19
7.99,7575.76,3623.19
8.04,7575.76,3623.19
8.09,7575.76,3623.19
8.14,7575.76,3623.19
8.19,7575.76,3623.19
8.24,7575.76,3623.19
8.29,7575.76,3623.19
8.34,7575.76,3623.19
8.39,7575.76,3623.19
8.44,7575.76,3623.19
8.49,7575.76,3623.19
8.54,7575.76,3676.47
8.59,7575.76,3676.47
8.64,7352.94,3676.47
8.69,7352.94,3676.47
8.74,7352.94,3676.47
8.79,7352.94,3731.34
8.84,7352.94,3731.34
8.89,7352.94,3731.34
8.94,7352.94,3731.34
8.99,7352.94,3731.34
9.04,7352.94,3731.34
9.09,7352.94,3731.34
9.14,7352.94,3731.34
9.19,7352.94,3731.34
9.24,7352.94,3731.34
9.29,7575.76,3731.34
9.34,7575.76,3676.47
9.39,7575.76,3676.47
9.44,7575.76,3676.47
9.49,7575.76,3676.47
