     Depth,PVelocity,SVelocity
1.545,-999,-999
1.645,-999,-999
1.745,-999,-999
1.845,-999,-999
1.945,-999,-999
2.045,-999,3654.37
2.145,7493,3654.37
2.245,7493,3609.99
2.345,7493,3609.99
2.445,7493,3609.99
2.545,7308.74,3609.99
2.645,7308.74,3609.99
2.745,7308.74,3654.37
2.845,7133.33,3762.31
2.945,7133.33,3810.54
3.045,7133.33,3810.54
3.145,7133.33,3810.54
3.245,7133.33,3654.37
3.345,6806.62,3654.37
3.445,6806.62,3609.99
3.545,6806.62,3609.99
3.645,6806.62,3566.67
3.745,6806.62,3609.99
3.845,6806.62,3609.99
3.945,6806.62,3609.99
4.045,6806.62,3609.99
4.145,6806.62,3609.99
4.245,6806.62,3609.99
4.345,6604.94,3566.67
4.445,6604.94,3566.67
4.545,6604.94,3609.99
4.645,6604.94,3483.07
4.745,6604.94,3364.78
4.845,6604.94,3403.31
4.945,6604.94,3483.07
5.045,6604.94,3810.54
5.145,6604.94,3762.31
5.245,6604.94,3762.31
5.345,6604.94,3860.03
5.445,6806.62,3860.03
5.545,6806.62,3860.03
5.645,6806.62,3860.03
5.745,6806.62,3962.96
5.845,6966.15,3860.03
5.945,7133.33,3860.03
6.045,7133.33,3962.96
6.145,7308.74,3860.03
6.245,7308.74,3715.28
6.345,7308.74,3715.28
6.445,7308.74,3762.31
6.545,7308.74,3810.54
6.645,7493,3860.03
6.745,7493,3910.82
6.845,7493,3810.54
6.945,7493,3762.31
7.045,7493,3654.37
7.145,7493,3609.99
7.245,7493,3609.99
7.345,7493,3609.99
7.445,7493,3609.99
7.545,7493,3762.31
7.645,7493,3762.31
7.745,7493,3810.54
7.845,7493,3810.54
7.945,7493,3810.54
8.045,7493,3810.54
8.145,7493,3762.31
8.245,7308.74,3715.28
8.345,7308.74,3609.99
8.445,7308.74,3566.67
8.545,7308.74,3566.67
8.645,7308.74,3715.28
8.745,7308.74,3762.31
8.845,7308.74,3810.54
8.945,7308.74,3810.54
9.045,7308.74,3810.54
9.145,7308.74,3762.31
9.245,7308.74,3762.31
9.345,7308.74,3762.31
9.445,7308.74,3762.31
9.545,7308.74,3762.31
9.645,7308.74,3762.31
9.745,7308.74,3860.03
9.845,7308.74,3910.82
9.945,7308.74,3860.03
10.045,7308.74,3762.31
10.145,7308.74,3810.54
10.245,7308.74,3810.54
10.345,7308.74,3762.31
10.445,7308.74,3860.03
10.545,7308.74,3860.03
10.645,7308.74,3860.03
10.745,7308.74,3810.54
10.845,7308.74,3810.54
10.945,7308.74,3762.31
11.045,7308.74,3860.03
11.145,7308.74,3860.03
11.245,7133.33,3910.82
11.345,7133.33,3962.96
11.445,7133.33,3810.54
11.545,7133.33,3715.28
11.645,7133.33,3715.28
11.745,7133.33,3715.28
11.845,7133.33,3654.37
11.945,7133.33,3654.37
12.045,7133.33,3654.37
12.145,7133.33,3654.37
12.245,7133.33,3715.28
12.345,7133.33,3715.28
12.445,7133.33,3715.28
12.545,7308.74,3654.37
12.645,7308.74,3566.67
12.745,7308.74,3566.67
12.845,7308.74,3810.54
12.945,7308.74,3810.54
13.045,7308.74,3715.28
13.145,7308.74,3715.28
13.245,7308.74,3715.28
13.345,7133.33,3762.31
13.445,7133.33,3810.54
13.545,7133.33,3860.03
13.645,7133.33,3910.82
13.745,7133.33,3910.82
13.845,7133.33,3860.03
13.945,7133.33,3860.03
14.045,7133.33,3860.03
14.145,7133.33,3860.03
14.245,7133.33,3810.54
14.345,7133.33,3810.54
14.445,7133.33,3810.54
14.545,7133.33,3810.54
14.645,7133.33,3715.28
14.745,7133.33,3715.28
14.845,7133.33,3715.28
14.945,7133.33,3715.28
15.045,7133.33,3609.99
15.145,7133.33,3483.07
15.245,7133.33,3483.07
15.345,7133.33,3483.07
15.445,7133.33,3524.37
15.545,7133.33,3609.99
15.645,7133.33,3810.54
15.745,7133.33,3810.54
15.845,7133.33,3810.54
15.945,7133.33,3810.54
16.045,6966.15,3810.54
16.145,6966.15,3810.54
16.245,6966.15,3810.54
16.345,6966.15,3810.54
16.445,6966.15,3810.54
16.545,6966.15,3762.31
16.645,6966.15,3810.54
16.745,6966.15,3762.31
16.845,6966.15,3762.31
16.945,6966.15,3762.31
17.045,6966.15,3654.37
17.145,6966.15,3654.37
17.245,6966.15,3762.31
17.345,6966.15,3762.31
17.445,6966.15,3860.03
17.545,6966.15,3810.54
