     Depth,PVelocity,SVelocity
2.22,7493,3715.28
2.32,7493,3715.28
2.42,7493,3810.54
2.52,7493,3860.03
2.62,7493,3910.82
2.72,7493,3962.96
2.82,7493,3962.96
2.92,7493,3910.82
3.02,7308.74,3810.54
3.12,7308.74,3810.54
3.22,7308.74,3810.54
3.32,7308.74,3810.54
3.42,7308.74,3810.54
3.52,7308.74,3810.54
3.62,7308.74,3860.03
3.72,7308.74,3910.82
3.82,7308.74,3910.82
3.92,7133.33,3860.03
4.02,7133.33,3860.03
4.12,6806.62,3860.03
4.22,6806.62,3860.03
4.32,6966.15,3860.03
4.42,6966.15,3810.54
4.52,6966.15,3810.54
4.62,6966.15,3810.54
4.72,6966.15,3810.54
4.82,7133.33,3810.54
4.92,7133.33,3810.54
5.02,7133.33,3810.54
5.12,7493,3762.31
5.22,7493,3762.31
5.32,7686.78,3762.31
5.42,7686.78,3762.31
5.52,7686.78,3623.19
5.62,7686.78,3676.47
5.72,7686.78,3731.34
5.82,7686.78,3731.34
5.92,7493,3731.34
6.02,7493,3846.15
6.12,7493,3846.15
6.22,7493,3846.15
6.32,7493,3787.88
6.42,7493,3787.88
6.52,7493,3787.88
6.62,7493,3968.25
6.72,7308.74,3731.34
6.82,7308.74,3731.34
6.92,7308.74,3676.47
7.02,7308.74,3472.22
7.12,7308.74,3521.13
7.22,7133.33,3521.13
7.32,7133.33,3571.43
7.42,7133.33,3676.47
7.52,7133.33,3787.88
7.62,7133.33,3787.88
7.72,7133.33,3787.88
7.82,7133.33,3787.88
7.92,7133.33,3787.88
8.02,7133.33,3846.15
8.12,7133.33,3846.15
8.22,7133.33,3846.15
8.32,7133.33,3846.15
8.42,7133.33,3846.15
8.52,7133.33,3846.15
8.62,7133.33,3846.15
8.72,7133.33,3787.88
8.82,7133.33,3787.88
8.92,7133.33,3787.88
9.02,7133.33,3846.15
9.12,7133.33,3846.15
9.22,7133.33,3787.88
9.32,7308.74,3787.88
9.42,7308.74,3787.88
9.52,7308.74,3787.88
9.62,7308.74,3787.88
9.72,7308.74,3787.88
9.82,7308.74,3787.88
9.92,7493,3787.88
10.02,7493,3787.88
10.12,7493,3787.88
10.22,7493,3731.34
10.32,7493,3731.34
10.42,7493,3731.34
10.52,7493,3731.34
10.62,7686.78,3731.34
10.72,7686.78,3731.34
10.82,7686.78,3787.88
10.92,7686.78,3787.88
11.02,7686.78,3787.88
11.12,7686.78,3787.88
11.22,7493,3731.34
11.32,7493,3731.34
11.42,7133.33,3731.34
11.52,7133.33,3787.88
11.62,7133.33,3787.88
11.72,7133.33,3787.88
11.82,7133.33,3787.88
11.92,7133.33,3787.88
12.02,7133.33,3787.88
12.12,6966.15,3787.88
12.22,6966.15,3787.88
12.32,6966.15,3731.34
12.42,6966.15,3731.34
12.52,6966.15,3731.34
12.62,7308.74,3731.34
12.72,7308.74,3676.47
12.82,7308.74,3623.19
12.92,7308.74,3623.19
13.02,7308.74,3623.19
13.12,7308.74,3623.19
13.22,7133.33,3623.19
13.32,7133.33,3676.47
13.42,7133.33,3676.47
13.52,7133.33,3623.19
13.62,7133.33,3623.19
13.72,7308.74,3623.19
13.82,7308.74,3571.43
13.92,7133.33,3571.43
14.02,7133.33,3623.19
14.12,7133.33,3676.47
14.22,6966.15,3731.34
14.32,6461.35,3787.88
14.42,6461.35,3676.47
14.52,6323.88,3571.43
14.62,6323.88,3378.38
14.72,6461.35,3246.75
14.82,6966.15,3289.47
14.92,7308.74,3378.38
15.02,7308.74,3521.13
15.12,7686.78,3571.43
15.22,7686.78,3623.19
15.32,7686.78,3676.47
