     Depth,SVelocity,PVelocity
3.738,-999,6445.15
3.838,-999,6445.15
3.938,3378.38,6445.15
4.038,3846.15,6445.15
4.138,3636.9,6445.15
4.238,3636.9,6445.15
4.338,3636.9,6445.15
4.438,3598.35,6445.15
4.538,4032.26,6445.15
4.638,3787.88,6445.15
4.738,3571.43,6445.15
4.838,3472.22,6445.15
4.938,3571.43,6445.15
5.038,3521.13,6445.15
5.138,3521.13,6445.15
5.238,3571.43,6445.15
5.338,3623.19,6445.15
5.438,3623.19,6445.15
5.538,3676.47,6445.15
5.638,3623.19,6569.89
5.738,3571.43,6569.89
5.838,3521.13,6569.89
5.938,3571.43,6569.89
6.038,3676.47,6569.89
6.138,3676.47,6569.89
6.238,3731.34,6699.56
6.338,3787.88,6699.56
6.438,3571.43,6699.56
6.538,3623.19,6699.56
6.638,3676.47,6834.45
6.738,3623.19,6834.45
6.838,3571.43,6834.45
6.938,3623.19,6699.56
7.038,3424.66,6699.56
7.138,3424.66,6699.56
7.238,3378.38,6699.56
7.338,3164.56,6834.45
7.438,3424.66,6834.45
7.538,3289.47,6834.45
7.638,3472.22,6569.89
7.738,3571.43,6569.89
7.838,3623.19,6445.15
7.938,3521.13,6445.15
8.038,3571.43,6445.15
8.138,3571.43,6445.15
8.238,3623.19,6445.15
8.338,3676.47,6445.15
8.438,3623.19,6445.15
8.538,3623.19,6445.15
8.638,3676.47,6445.15
8.738,3676.47,6445.15
8.838,3676.47,6445.15
8.938,3623.19,6445.15
9.038,3571.43,6445.15
9.138,3521.13,6445.15
9.238,3521.13,6445.15
9.338,3424.66,6445.15
9.438,3472.22,6445.15
9.538,3472.22,6569.89
9.638,3521.13,6569.89
9.738,3472.22,6569.89
9.838,3424.66,6569.89
9.938,3472.22,6569.89
10.038,3472.22,6569.89
10.138,3521.13,6569.89
10.238,3571.43,6569.89
10.338,3571.43,6569.89
10.438,3571.43,6569.89
10.538,3571.43,6569.89
10.638,3472.22,6569.89
10.738,3472.22,6569.89
10.838,3472.22,6699.56
10.938,3521.13,6699.56
11.038,3623.19,6699.56
11.138,3676.47,6699.56
11.238,3571.43,6834.45
11.338,3731.34,6834.45
11.438,3787.88,6974.89
11.538,3731.34,6974.89
11.638,3676.47,6974.89
11.738,3623.19,6974.89
11.838,3571.43,6974.89
11.938,3676.47,6974.89
12.038,3623.19,6974.89
12.138,3623.19,6974.89
12.238,3676.47,6974.89
12.338,3619.67,6974.89
12.438,3619.67,6974.89
12.538,3619.67,6974.89
12.638,3552.33,6974.89
12.738,3503.44,6974.89
12.838,3503.44,6974.89
12.938,3455.88,6974.89
13.038,3455.88,6834.45
13.138,3455.88,6699.56
13.238,3378.38,6569.89
13.338,3521.13,6569.89
13.438,3571.43,6569.89
13.538,3521.13,6445.15
13.638,3571.43,6445.15
13.738,3571.43,6445.15
13.838,3571.43,6445.15
13.938,3623.19,6445.15
14.038,3571.43,6445.15
14.138,3623.19,6171.72
14.238,3623.19,6171.72
14.338,3571.43,6061.51
14.438,3521.13,5955.17
14.538,3424.66,5955.17
14.638,3378.38,5955.17
14.738,3333.33,5955.17
14.838,3333.33,5955.17
14.938,3378.38,5955.17
15.038,3424.66,5852.49
15.138,3378.38,5852.49
15.238,3378.38,5852.49
15.338,3424.66,5753.3
15.438,3472.22,5753.3
15.538,3521.13,5753.3
15.638,3521.13,5657.41
15.738,3571.43,5657.41
15.838,3623.19,5657.41
15.938,3623.19,5657.41
16.038,3676.47,5564.66
16.138,3676.47,5564.66
16.238,3552.33,5564.66
16.338,3552.33,5564.66
16.438,3552.33,5564.66
16.538,3552.33,5564.66
16.638,3503.44,5564.66
16.738,3503.44,5564.66
16.838,3503.44,5564.66
16.938,3503.44,5564.66
17.038,3195.61,5564.66
17.138,3030.75,5564.66
17.238,2995.1,5564.66
17.338,2995.1,5564.66
17.438,2926.25,5657.41
17.538,2926.25,5657.41
17.638,2860.49,5657.41
17.738,2892.99,5657.41
17.838,2941.18,5753.3
17.938,2906.98,5753.3
18.038,2926.25,5753.3
18.138,2926.25,5753.3
18.238,3195.61,5852.49
18.338,3195.61,6061.51
18.438,3455.88,6061.51
18.538,3455.88,6061.51
18.638,3455.88,6061.51
18.738,3503.44,6171.72
18.838,3503.44,6445.15
18.938,3552.33,6445.15
19.038,3619.67,6445.15
19.138,3619.67,6445.15
19.238,3619.67,6569.89
19.338,3623.19,6445.15
19.438,3731.34,6445.15
19.538,3676.47,6286.01
19.638,3676.47,6286.01
19.738,3676.47,6171.72
19.838,3623.19,6171.72
19.938,3623.19,6171.72
20.038,3623.19,6171.72
20.138,3623.19,6171.72
20.238,3676.47,6171.72
20.338,3623.19,6171.72
20.438,3623.19,6171.72
20.538,3676.47,6286.01
20.638,3676.47,6569.89
20.738,3676.47,6569.89
20.838,3676.47,6445.15
20.938,3623.19,6445.15
21.038,3623.19,6445.15
21.138,3623.19,6445.15
21.238,3676.47,6445.15
21.338,3676.47,6445.15
21.438,3676.47,6445.15
21.538,3676.47,6445.15
21.638,3623.19,6445.15
21.738,3571.43,6445.15
21.838,3571.43,6445.15
21.938,3571.43,6445.15
22.038,3571.43,6445.15
22.138,3571.43,6286.01
22.238,3571.43,6286.01
22.338,3571.43,6286.01
22.438,3571.43,6286.01
22.538,3521.13,6286.01
22.638,3521.13,6286.01
22.738,3521.13,6286.01
22.838,3472.22,6286.01
22.938,3472.22,6286.01
23.038,3472.22,6445.15
23.138,3424.66,6445.15
23.238,3472.22,6445.15
23.338,3521.13,6445.15
23.438,3571.43,6445.15
23.538,3623.19,6445.15
23.638,3472.22,6445.15
23.738,3424.66,6445.15
23.838,3424.66,6445.15
23.938,3424.66,6445.15
24.038,3521.13,6445.15
24.138,3571.43,6445.15
24.238,3571.43,6445.15
24.338,3571.43,6445.15
24.438,3571.43,6445.15
24.538,3571.43,6445.15
24.638,3521.13,6445.15
24.738,3521.13,6445.15
24.838,3472.22,6445.15
24.938,3424.66,6445.15
25.038,3424.66,6445.15
25.138,3472.22,6445.15
25.238,3472.22,6445.15
25.338,3472.22,6445.15
25.438,3521.13,6445.15
25.538,3571.43,6445.15
25.638,3571.43,6445.15
25.738,3623.19,6445.15
25.838,3676.47,6445.15
25.938,3676.47,6445.15
26.038,3676.47,6445.15
26.138,3676.47,6445.15
26.238,3676.47,6445.15
26.338,3676.47,6445.15
26.438,3623.19,6445.15
26.538,3571.43,6445.15
26.638,3424.66,6445.15
26.738,3333.33,6445.15
26.838,3246.75,6445.15
26.938,3246.75,6445.15
27.038,3246.75,6445.15
27.138,3333.33,6569.89
27.238,3333.33,6569.89
27.338,3424.66,6699.56
27.438,3521.13,6699.56
27.538,3333.33,6699.56
27.638,3289.47,6834.45
27.738,3289.47,6974.89
27.838,3333.33,6974.89
27.938,3333.33,6974.89
28.038,3378.38,6974.89
28.138,3472.22,6974.89
28.238,3521.13,6974.89
28.338,3676.47,6974.89
28.438,3731.34,6974.89
28.538,3731.34,6974.89
28.638,3787.88,6974.89
28.738,3731.34,6974.89
