Depth,SVelocity,PVelocity
2.462,-999,-999
2.562,3724.7,10781.3
2.662,3724.7,10781.3
2.762,3817.43,9452.05
2.862,3914.89,9452.05
2.962,3965.52,9452.05
3.062,4070.8,9452.05
3.162,4200.91,9452.05
3.262,4259.26,9078.95
3.362,4319.25,9078.95
3.462,4319.25,8734.18
3.562,4319.25,8734.18
3.662,4319.25,8414.63
3.762,4319.25,8414.63
3.862,4319.25,8117.65
3.962,4319.25,8117.65
4.062,4319.25,7752.81
4.162,4319.25,7752.81
4.262,4319.25,7752.81
4.362,4319.25,7752.81
4.462,4319.25,7752.81
4.562,4200.91,7752.81
4.662,4070.8,7752.81
4.762,4017.47,7752.81
4.862,3914.89,7500
4.962,3865.55,7500
5.062,3770.49,7263.16
5.162,3665.34,6831.68
5.262,3579.77,6831.68
5.362,3538.46,6634.62
5.462,3538.46,6272.73
5.562,3498.1,6106.19
5.662,3498.1,6106.19
5.762,3498.1,6106.19
5.862,3498.1,6106.19
5.962,3498.1,6106.19
6.062,3498.1,6106.19
6.162,3498.1,6106.19
6.262,3498.1,5897.44
6.362,3498.1,5897.44
6.462,3498.1,5750
6.562,3498.1,6106.19
6.662,3498.1,6106.19
6.762,3498.1,6272.73
6.862,3498.1,6272.73
6.962,3498.1,6272.73
7.062,3498.1,6448.6
7.162,3538.46,6448.6
7.262,3579.77,6448.6
7.362,3579.77,7479.67
7.462,3622.05,7301.59
7.562,3622.05,7301.59
7.662,3622.05,7301.59
7.762,3665.34,7301.59
7.862,3665.34,7301.59
7.962,3665.34,7301.59
8.062,3665.34,7301.59
8.162,3665.34,7301.59
8.262,3622.05,7301.59
8.362,3579.77,7301.59
8.462,3538.46,7301.59
8.562,3538.46,7301.59
8.662,3538.46,7301.59
8.762,3538.46,7479.67
8.862,3538.46,7479.67
8.962,3538.46,7666.67
9.062,3538.46,8141.59
9.162,3579.77,7863.25
9.262,3622.05,7863.25
9.362,3622.05,7863.25
9.462,3665.34,7863.25
9.562,3724.7,7479.67
9.662,3724.7,7301.59
9.762,3724.7,7301.59
9.862,3724.7,7301.59
