Depth,PVelocity,SVelocity
3.839,-999,-999
3.939,-999,-999
4.039,-999,-999
4.139,-999,-999
4.239,-999,-999
4.339,-999,-999
4.439,-999,-999
4.539,7479.67,3623.19
4.639,7479.67,4464.29
4.739,7301.59,3846.15
4.839,7575.76,3846.15
4.939,7352.94,3731.34
5.039,6944.44,3676.47
5.139,6578.95,3571.43
5.239,6756.76,3571.43
5.339,6756.76,3571.43
5.439,6578.95,3571.43
5.539,6814.81,3571.43
5.639,6814.81,3623.19
5.739,6814.81,3623.19
5.839,6814.81,3571.43
5.939,6814.81,3623.19
6.039,6814.81,3623.19
6.139,6814.81,3676.47
6.239,6814.81,3676.47
6.339,6944.44,3571.43
6.439,6410.26,3378.38
6.539,6578.95,3378.38
6.639,6410.26,3424.66
6.739,6344.83,3472.22
6.839,6344.83,3521.13
6.939,6478.87,3571.43
7.039,6666.67,3424.66
7.139,6666.67,3472.22
7.239,6814.81,3521.13
7.339,7131.78,3472.22
7.439,7863.25,3571.43
7.539,8598.13,3521.13
7.639,8846.15,3424.66
7.739,8846.15,3521.13
7.839,9108.91,3731.34
7.939,9108.91,3787.88
8.039,9108.91,3731.34
8.139,8846.15,3731.34
8.239,8846.15,3731.34
8.339,8333.33,3731.34
8.439,8064.52,3676.47
8.539,8064.52,3676.47
8.639,7575.76,3676.47
8.739,7575.76,3676.47
8.839,7142.86,3623.19
8.939,7142.86,3571.43
9.039,6756.76,3521.13
9.139,6756.76,3424.66
9.239,6578.95,3378.38
9.339,6756.76,3424.66
9.439,7142.86,3521.13
9.539,7142.86,3571.43
9.639,7142.86,3571.43
9.739,7142.86,3521.13
9.839,7142.86,3521.13
9.939,7142.86,3472.22
10.039,7575.76,3521.13
10.139,7812.5,3571.43
10.239,8333.33,3623.19
10.339,8333.33,3676.47
10.439,8928.57,3676.47
10.539,9684.21,3731.34
10.639,9684.21,3787.88
10.739,9108.91,3787.88
10.839,8846.15,3846.15
10.939,8846.15,3787.88
11.039,9615.38,3787.88
11.139,9259.26,3787.88
11.239,8620.69,3787.88
11.339,8928.57,3787.88
11.439,8333.33,3787.88
11.539,8620.69,3731.34
11.639,8333.33,3623.19
11.739,8620.69,3623.19
11.839,8333.33,3623.19
11.939,8846.15,3623.19
12.039,9108.91,3623.19
12.139,9684.21,3571.43
12.239,10000,3676.47
12.339,10337.1,3676.47
12.439,10337.1,3731.34
12.539,10337.1,3787.88
12.639,9684.21,3787.88
12.739,9387.75,3731.34
12.839,9387.75,3731.34
12.939,8928.57,3676.47
13.039,8928.57,3731.34
13.139,9259.26,3787.88
13.239,8928.57,3787.88
13.339,8620.69,3787.88
13.439,8928.57,3731.34
13.539,8928.57,3676.47
13.639,8620.69,3676.47
13.739,8928.57,3676.47
13.839,8333.33,3676.47
13.939,8333.33,3676.47
14.039,8333.33,3676.47
14.139,8620.69,3623.19
14.239,8141.59,3676.47
14.339,8141.59,3676.47
14.439,7863.25,3676.47
14.539,7863.25,3623.19
14.639,8141.59,3571.43
14.739,8363.64,3521.13
14.839,9108.91,3521.13
14.939,10337.1,3571.43
15.039,12105.3,3571.43
15.139,13142.9,3623.19
15.239,15082,3521.13
15.339,15625,3424.66
15.439,13157.9,3333.33
15.539,15625,3378.38
15.639,15625,3472.22
15.739,14705.9,3521.13
15.839,17857.1,3571.43
15.939,19230.8,3521.13
16.039,14375,3521.13
16.139,11645.6,3571.43
16.239,10823.5,3623.19
16.339,10000,3676.47
16.439,10000,3676.47
16.539,10000,3676.47
16.639,10823.5,3676.47
16.739,10337.1,3676.47
16.839,10337.1,3731.34
16.939,10337.1,3731.34
17.039,10000,3731.34
17.139,9108.91,3731.34
17.239,8598.13,3731.34
17.339,8598.13,3731.34
17.439,8363.64,3731.34
17.539,7812.5,3731.34
17.639,7812.5,3731.34
17.739,6578.95,3676.47
17.839,6250,3521.13
17.939,5952.38,3472.22
18.039,6410.26,3333.33
18.139,5681.82,3246.75
18.239,5681.82,3086.42
18.339,5434.78,2976.19
18.439,5102.04,2873.56
18.539,5102.04,2777.78
18.639,5102.04,2717.39
18.739,5208.33,2747.25
18.839,5434.78,2808.99
18.939,5681.82,2906.98
19.039,6250,3012.05
19.139,7575.76,3164.56
19.239,7812.5,3289.47
19.339,8064.52,3378.38
19.439,8928.57,3378.38
19.539,10000,3424.66
19.639,10000,3571.43
19.739,11219.5,3731.34
19.839,12105.3,3787.88
19.939,13731.3,3906.25
20.039,17037,4032.26
20.139,17037,3968.25
20.239,17037,3968.25
20.339,13731.3,4032.26
20.439,9387.75,3968.25
20.539,7131.78,3787.88
20.639,6216.22,3521.13
20.739,6216.22,3333.33
20.839,6092.72,3246.75
20.939,6216.22,3246.75
21.039,6478.87,3289.47
21.139,6478.87,3289.47
21.239,6344.83,3289.47
21.339,6344.83,3289.47
21.439,6478.87,3333.33
21.539,6478.87,3378.38
21.639,6410.26,3378.38
21.739,6097.56,3378.38
21.839,6097.56,3289.47
21.939,5952.38,3289.47
22.039,5952.38,3289.47
22.139,5952.38,3289.47
22.239,6097.56,3333.33
22.339,5952.38,3333.33
22.439,5952.38,3333.33
22.539,6097.56,3333.33
22.639,6250,3289.47
22.739,6756.76,3289.47
22.839,6756.76,3246.75
22.939,6756.76,3246.75
23.039,6410.26,3289.47
23.139,6250,3289.47
23.239,6250,3289.47
23.339,6250,3333.33
23.439,6250,3378.38
23.539,6756.76,3472.22
23.639,6250,3521.13
23.739,6756.76,3472.22
23.839,6578.95,3378.38
23.939,7575.76,3472.22
24.039,7575.76,3521.13
24.139,7812.5,3571.43
24.239,7575.76,3521.13
24.339,7142.86,3521.13
24.439,7812.5,3571.43
24.539,7575.76,3571.43
24.639,7812.5,3623.19
24.739,8064.52,3623.19
24.839,8333.33,3623.19
24.939,7812.5,3623.19
25.039,8064.52,3623.19
25.139,8064.52,3623.19
25.239,8064.52,3623.19
25.339,8064.52,3623.19
25.439,7812.5,3571.43
25.539,8064.52,3571.43
25.639,7812.5,3571.43
25.739,8064.52,3571.43
25.839,8064.52,3571.43
25.939,8064.52,3623.19
26.039,8064.52,3623.19
26.139,8333.33,3623.19
26.239,8333.33,3623.19
26.339,7812.5,3623.19
26.439,7812.5,3623.19
26.539,7575.76,3676.47
26.639,7812.5,3676.47
26.739,7812.5,3623.19
26.839,7812.5,3623.19
26.939,7142.86,3623.19
27.039,7812.5,3623.19
27.139,8064.52,3571.43
27.239,8064.52,3571.43
27.339,7142.86,3571.43
27.439,7812.5,3571.43
27.539,7142.86,3571.43
27.639,6756.76,3571.43
27.739,7575.76,3623.19
27.839,7142.86,3623.19
27.939,7142.86,3623.19
28.039,7301.59,3571.43
28.139,7575.76,3571.43
28.239,7575.76,3571.43
28.339,7812.5,3521.13
28.439,8333.33,3521.13
28.539,8928.57,3571.43
28.639,8620.69,3623.19
28.739,9615.38,3676.47
28.839,9615.38,3731.34
28.939,11363.6,3787.88
29.039,9615.38,3787.88
29.139,9259.26,3846.15
29.239,8620.69,3846.15
29.339,7812.5,3787.88
29.439,6944.44,3676.47
29.539,7142.86,3623.19
29.639,7352.94,3521.13
29.739,7142.86,3521.13
29.839,7812.5,3521.13
29.939,7142.86,3571.43
30.039,7142.86,3571.43
30.139,7575.76,3571.43
30.239,6944.44,3571.43
30.339,7142.86,3521.13
30.439,6944.44,3521.13
30.539,6756.76,3521.13
30.639,6756.76,3521.13
30.739,6756.76,3521.13
30.839,6756.76,3521.13
30.939,6578.95,3472.22
31.039,6944.44,3521.13
31.139,6944.44,3521.13
31.239,6578.95,3472.22
31.339,6578.95,3521.13
31.439,6756.76,3472.22
31.539,6756.76,3424.66
31.639,6578.95,3424.66
31.739,6578.95,3378.38
31.839,6410.26,3378.38
31.939,6578.95,3333.33
32.039,6578.95,3164.56
32.139,6250,3333.33
32.239,6250,3345.45
32.339,6097.56,3382.35
32.439,6410.26,3420.07
32.539,6410.26,3420.07
32.639,6410.26,3424.66
32.739,6250,3333.33
32.839,6410.26,3289.47
32.939,6578.95,3289.47
33.039,6578.95,3333.33
33.139,6578.95,3424.66
33.239,6578.95,3521.13
33.339,6756.76,3521.13
33.439,7142.86,3571.43
33.539,6756.76,3571.43
33.639,7142.86,3571.43
33.739,7142.86,3571.43
33.839,6756.76,3571.43
33.939,6578.95,3521.13
34.039,6756.76,3521.13
34.139,7142.86,3521.13
34.239,6756.76,3521.13
34.339,6578.95,3472.22
34.439,6578.95,3333.33
34.539,6410.26,3424.66
34.639,6578.95,3521.13
34.739,6578.95,3472.22
34.839,6410.26,3424.66
34.939,6250,3378.38
35.039,6756.76,3378.38
35.139,6578.95,3289.47
35.239,6410.26,3246.75
35.339,5952.38,3289.47
35.439,6250,3333.33
35.539,6250,3378.38
35.639,6250,3378.38
35.739,6250,3378.38
35.839,6410.26,3378.38
35.939,6578.95,3378.38
36.039,6410.26,3378.38
36.139,6578.95,3378.38
36.239,6410.26,3378.38
36.339,6410.26,3378.38
36.439,6250,3333.33
36.539,6410.26,3333.33
36.639,6410.26,3378.38
36.739,6410.26,3378.38
36.839,6578.95,3424.66
36.939,7131.78,3378.38
37.039,6944.44,3378.38
37.139,6756.76,3333.33
37.239,6250,3246.75
37.339,6250,3164.56
37.439,6578.95,3205.13
37.539,6944.44,3333.33
37.639,7142.86,3472.22
37.739,8064.52,3571.43
37.839,8064.52,3571.43
37.939,7575.76,3571.43
38.039,7575.76,3521.13
38.139,7142.86,3521.13
38.239,7812.5,3521.13
38.339,7142.86,3571.43
38.439,6756.76,3521.13
38.539,7131.78,3521.13
38.639,6944.44,3521.13
38.739,6756.76,3571.43
38.839,6944.44,3623.19
38.939,7142.86,3623.19
39.039,6944.44,3623.19
39.139,6944.44,3623.19
39.239,7352.94,3623.19
39.339,7575.76,3623.19
39.439,8141.59,3623.19
39.539,8363.64,3521.13
39.639,7575.76,3521.13
39.739,7812.5,3521.13
39.839,7575.76,3472.22
39.939,7142.86,3472.22
40.039,6578.95,3424.66
40.139,6410.26,3424.66
40.239,6410.26,3378.38
40.339,6250,3378.38
40.439,6250,3333.33
40.539,6410.26,3420.07
40.639,6578.95,3345.45
40.739,6578.95,3262.41
40.839,6410.26,3228.07
40.939,6250,3194.44
41.039,6097.56,3161.51
41.139,5952.38,3161.51
41.239,5813.95,3205.13
41.339,5681.82,3246.75
41.439,5813.95,3289.47
41.539,5813.95,3378.38
41.639,5952.38,3424.66
41.739,6250,3472.22
41.839,6250,3521.13
41.939,5952.38,3472.22
42.039,5813.95,3472.22
42.139,5813.95,3424.66
42.239,5952.38,3378.38
42.339,5952.38,3333.33
42.439,5813.95,3289.47
42.539,5681.82,3164.56
42.639,5555.56,3125
42.739,5681.82,3125
42.839,5813.95,3205.13
42.939,5952.38,3164.56
43.039,5952.38,3164.56
43.139,5681.82,3125
43.239,5681.82,3012.05
43.339,5813.95,2976.19
43.439,5813.95,2906.98
43.539,5813.95,2873.56
43.639,5681.82,2717.39
43.739,5681.82,2873.56
43.839,5681.82,2976.19
43.939,5681.82,3125
44.039,5813.95,3164.56
44.139,5813.95,3246.75
44.239,5813.95,3246.75
44.339,5813.95,3289.47
44.439,5813.95,3333.33
44.539,5813.95,3333.33
44.639,5952.38,3333.33
44.739,5952.38,3333.33
44.839,5952.38,3333.33
44.939,6097.56,3333.33
45.039,5952.38,3333.33
45.139,5813.95,3378.38
45.239,5952.38,3125
45.339,5952.38,3086.42
45.439,5952.38,3164.56
45.539,5952.38,3205.13
45.639,5952.38,3205.13
45.739,5952.38,3164.56
45.839,5813.95,3205.13
45.939,5813.95,3246.75
46.039,5952.38,3246.75
46.139,6410.26,3378.38
46.239,6410.26,3333.33
46.339,6250,3333.33
46.439,6250,3378.38
46.539,6250,3424.66
46.639,6410.26,3378.38
46.739,6097.56,3333.33
46.839,6097.56,3378.38
46.939,6250,3333.33
47.039,6250,3424.66
47.139,5952.38,3378.38
47.239,6578.95,3333.33
47.339,6250,3333.33
47.439,5952.38,3289.47
47.539,6097.56,3289.47
47.639,5952.38,3333.33
47.739,5952.38,3333.33
47.839,5952.38,3378.38
47.939,6250,3424.66
48.039,6756.76,3521.13
48.139,7142.86,3571.43
48.239,6756.76,3571.43
48.339,6756.76,3521.13
48.439,6756.76,3472.22
48.539,6756.76,3472.22
48.639,7142.86,3378.38
48.739,7142.86,3378.38
48.839,6944.44,3424.66
48.939,6944.44,3521.13
49.039,6756.76,3571.43
49.139,6944.44,3571.43
49.239,6944.44,3521.13
49.339,6756.76,3521.13
49.439,6944.44,3521.13
49.539,7142.86,3571.43
49.639,6944.44,3521.13
49.739,6756.76,3472.22
49.839,6756.76,3472.22
49.939,6756.76,3521.13
50.039,6756.76,3571.43
50.139,6756.76,3571.43
50.239,6756.76,3521.13
50.339,6578.95,3424.66
50.439,6578.95,3424.66
50.539,6756.76,3378.38
50.639,6756.76,3333.33
50.739,6756.76,3378.38
50.839,6756.76,3378.38
50.939,6756.76,3333.33
51.039,7142.86,3378.38
51.139,6756.76,3424.66
51.239,6756.76,3521.13
51.339,7142.86,3571.43
51.439,7142.86,3521.13
51.539,7142.86,3623.19
51.639,7142.86,3676.47
51.739,6756.76,3676.47
51.839,6756.76,3571.43
51.939,6756.76,3571.43
52.039,7142.86,3571.43
52.139,6578.95,3424.66
52.239,6756.76,3420.07
52.339,6250,3420.07
52.439,6578.95,3420.07
52.539,6410.26,3458.65
52.639,6756.76,3538.46
52.739,6944.44,3571.43
52.839,6578.95,3472.22
52.939,6410.26,3731.34
53.039,6410.26,3571.43
53.139,6410.26,3521.13
53.239,6578.95,3424.66
53.339,6410.26,3472.22
53.439,6097.56,3424.66
53.539,6097.56,3521.13
53.639,5434.78,3622.05
53.739,5319.15,3622.05
53.839,5681.82,3538.46
53.939,5952.38,3458.65
54.039,6578.95,3297.49
54.139,6578.95,3262.41
54.239,6250,3012.05
54.339,6756.76,3086.42
54.439,6578.95,3048.78
54.539,6756.76,3164.56
54.639,6578.95,3205.13
54.739,6578.95,4032.26
54.839,6578.95,4237.29
54.939,6578.95,4385.96
55.039,6578.95,4237.29
55.139,6756.76,4310.34
55.239,6578.95,4310.34
55.339,6578.95,4310.34
55.439,6578.95,4310.34
55.539,6410.26,4385.96
55.639,6578.95,4385.96
55.739,6578.95,4310.34
55.839,6578.95,4310.34
55.939,6578.95,4237.29
56.039,6578.95,4098.36
56.139,6578.95,4098.36
56.239,6410.26,3906.25
56.339,6578.95,3906.25
56.439,6578.95,3968.25
56.539,6578.95,3846.15
56.639,6250,3968.25
56.739,6756.76,4032.26
56.839,6578.95,4032.26
56.939,6410.26,4032.26
57.039,6410.26,4070.8
57.139,6578.95,4070.8
57.239,6578.95,4070.8
57.339,6578.95,4070.8
57.439,6578.95,3965.52
57.539,6578.95,3965.52
57.639,7142.86,3914.89
57.739,6756.76,3817.43
57.839,6344.83,3770.49
57.939,6969.7,3731.34
58.039,6969.7,3571.43
58.139,7142.86,3623.19
58.239,7142.86,3676.47
58.339,7142.86,3571.43
58.439,7142.86,3623.19
58.539,6756.76,3623.19
58.639,7131.78,3623.19
58.739,7666.67,3665.34
58.839,7131.78,3622.05
58.939,7575.76,3622.05
59.039,7142.86,3622.05
59.139,7142.86,3521.13
59.239,7301.59,3521.13
59.339,7142.86,3424.66
59.439,7575.76,3472.22
59.539,7142.86,3333.33
59.639,7142.86,3424.66
59.739,7142.86,3378.38
59.839,7142.86,3424.66
59.939,7142.86,3378.38
60.039,7142.86,3333.33
60.139,7142.86,3378.38
60.239,7142.86,3378.38
60.339,7142.86,3424.66
60.439,7142.86,3378.38
60.539,7479.67,3333.33
60.639,7142.86,3424.66
60.739,7142.86,3424.66
60.839,6756.76,3424.66
60.939,7142.86,3472.22
61.039,7131.78,3623.19
61.139,7142.86,3731.34
61.239,7142.86,3623.19
61.339,7812.5,3676.47
61.439,7575.76,3676.47
61.539,8333.33,3623.19
61.639,7812.5,3676.47
61.739,8333.33,3676.47
61.839,7352.94,3622.05
61.939,7142.86,3622.05
62.039,7142.86,3622.05
62.139,7142.86,3579.77
62.239,7575.76,3579.77
62.339,7352.94,3622.05
62.439,6756.76,3622.05
62.539,7142.86,3571.43
62.639,7142.86,3571.43
62.739,7666.67,3521.13
62.839,8333.33,3665.34
62.939,8333.33,3665.34
63.039,7812.5,3665.34
63.139,8064.52,3622.05
63.239,8064.52,3579.77
63.339,7352.94,3538.46
63.439,7575.76,3538.46
63.539,7352.94,3538.46
63.639,7352.94,3538.46
63.739,7142.86,3622.05
63.839,6578.95,3724.7
63.939,6410.26,3817.43
64.039,5681.82,3914.89
64.139,5952.38,3914.89
64.239,5952.38,4017.47
64.339,6578.95,4017.47
64.439,6578.95,4098.36
64.539,7131.78,3968.25
64.639,7131.78,3968.25
64.739,7666.67,3906.25
64.839,8928.57,3787.88
64.939,9259.26,3731.34
65.039,9259.26,3731.34
65.139,9259.26,3731.34
65.239,8620.69,3787.88
65.339,7352.94,3787.88
65.439,7142.86,3787.88
65.539,6969.7,3906.25
65.639,7131.78,3846.15
65.739,7142.86,3731.34
65.839,7142.86,3676.47
65.939,7666.67,3676.47
66.039,7479.67,3623.19
66.139,7812.5,3623.19
66.239,7575.76,3623.19
66.339,7812.5,3676.47
66.439,7863.25,3676.47
66.539,7812.5,3676.47
66.639,8620.69,3731.34
66.739,8928.57,3676.47
66.839,8620.69,3676.47
66.939,9259.26,3676.47
67.039,8333.33,3676.47
67.139,8620.69,3676.47
67.239,8928.57,3676.47
67.339,8928.57,3676.47
67.439,9259.26,3676.47
67.539,8620.69,3676.47
67.639,7575.76,3731.34
67.739,7812.5,3676.47
67.839,7575.76,3676.47
67.939,7142.86,3623.19
68.039,7575.76,3676.47
68.139,8333.33,3665.34
68.239,7142.86,3665.34
68.339,7575.76,3665.34
68.439,7142.86,3665.34
68.539,6756.76,3665.34
68.639,7142.86,3665.34
68.739,7142.86,3724.7
68.839,7142.86,3770.49
68.939,6944.44,3817.43
69.039,7352.94,3817.43
69.139,7142.86,3676.47
69.239,7575.76,3623.19
69.339,8064.52,3623.19
69.439,8620.69,3676.47
69.539,8928.57,3676.47
69.639,8620.69,3731.34
69.739,8928.57,3676.47
69.839,8620.69,3676.47
69.939,7812.5,3676.47
70.039,8928.57,3731.34
70.139,8333.33,3676.47
70.239,8333.33,3731.34
70.339,8333.33,3731.34
70.439,7575.76,3787.88
70.539,7575.76,3676.47
70.639,8333.33,3623.19
70.739,8333.33,3623.19
70.839,7863.25,3571.43
70.939,8333.33,3623.19
71.039,8333.33,3676.47
71.139,8333.33,3731.34
71.239,8620.69,3731.34
71.339,8928.57,3676.47
71.439,9259.26,3731.34
71.539,9259.26,3731.34
71.639,9259.26,3731.34
71.739,8928.57,3731.34
71.839,9259.26,3731.34
71.939,9259.26,3787.88
72.039,10000,3846.15
72.139,10000,3846.15
72.239,9615.38,3846.15
72.339,8928.57,3846.15
72.439,8928.57,3906.25
72.539,8928.57,3846.15
72.639,8333.33,3731.34
72.739,8333.33,3731.34
72.839,9259.26,3731.34
72.939,8928.57,3787.88
73.039,9259.26,3787.88
73.139,9615.38,3846.15
73.239,9259.26,3846.15
73.339,9615.38,3787.88
73.439,9259.26,3787.88
73.539,9259.26,3787.88
73.639,9259.26,3731.34
73.739,9615.38,3787.88
73.839,10000,3787.88
73.939,9615.38,3846.15
74.039,10000,3846.15
74.139,10000,3787.88
74.239,9259.26,3787.88
74.339,9259.26,3787.88
74.439,9259.26,3846.15
74.539,10000,3846.15
74.639,9615.38,3846.15
74.739,9259.26,3846.15
74.839,9259.26,3787.88
74.939,9684.21,3731.34
75.039,9615.38,3731.34
75.139,9615.38,3731.34
75.239,9615.38,3731.34
75.339,9615.38,3731.34
75.439,9259.26,3787.88
75.539,10000,3846.15
75.639,10000,3787.88
75.739,9259.26,3731.34
75.839,-999,-999
75.939,-999,-999
76.039,-999,-999
76.139,-999,-999
76.239,-999,-999
76.339,-999,-999
76.439,-999,-999
