     Depth,PVelocity,SVelocity
3.465,-999,-999
3.565,7621.08,3826.9
3.665,7821.64,3893.74
3.765,7821.64,3998.51
3.865,8033.03,3998.51
3.965,8033.03,3998.51
4.065,8033.03,3998.51
4.165,8033.03,3998.51
4.265,8033.03,3998.51
4.365,7821.64,3998.51
4.465,7821.64,3945.43
4.565,7621.08,3826.9
4.665,7621.08,3778.25
4.765,7430.56,3684.57
4.865,7430.56,3684.57
4.965,7430.56,3639.46
5.065,7249.32,3571.43
5.165,7021,3571.43
5.265,7021,3378.38
5.365,6858.97,3472.22
5.465,7021,3333.33
5.565,7021,3289.47
5.665,6858.97,3424.66
5.765,6858.97,3424.66
5.865,6858.97,3521.13
5.965,6704.26,3623.19
6.065,6704.26,3623.19
6.165,6704.26,3623.19
6.265,6704.26,3676.47
6.365,6704.26,3623.19
6.465,6556.37,3676.47
6.565,6556.37,3623.19
6.665,6556.37,3571.43
6.765,6414.87,3623.19
6.865,6414.87,3676.47
6.965,6414.87,3676.47
7.065,6414.87,3676.47
7.165,6414.87,3623.19
7.265,6414.87,3623.19
7.365,6414.87,3623.19
7.465,6556.37,3595.43
7.565,6556.37,3595.43
7.665,6556.37,3552.46
7.765,6556.37,3552.46
7.865,6556.37,3552.46
7.965,6556.37,3595.43
8.065,6556.37,3639.46
8.165,6556.37,3684.57
8.265,6556.37,3684.57
8.365,6704.26,3684.57
8.465,6858.97,3684.57
8.565,7021,3676.47
8.665,7021,3731.34
8.765,7021,3676.47
8.865,7021,3676.47
8.965,7021,3676.47
9.065,7249.32,3676.47
9.165,7430.56,3731.34
9.265,7430.56,3731.34
9.365,7430.56,3731.34
9.465,7430.56,3731.34
9.565,7430.56,3731.34
9.665,7430.56,3787.88
9.765,7430.56,3787.88
9.865,7430.56,3787.88
9.965,7430.56,3787.88
10.065,7430.56,3787.88
10.165,7430.56,3787.88
10.265,7430.56,3731.34
10.365,7430.56,3731.34
10.465,7430.56,3731.34
10.565,7430.56,3787.88
10.665,7430.56,3731.34
10.765,7249.32,3731.34
10.865,7021,3623.19
10.965,7021,3571.43
11.065,7021,3521.13
11.165,7021,3521.13
11.265,7021,3571.43
11.365,7021,3521.13
11.465,6704.26,3571.43
11.565,6704.26,3521.13
11.665,6704.26,3623.19
11.765,6556.37,3623.19
11.865,6556.37,3676.47
11.965,6556.37,3731.34
12.065,6556.37,3676.47
12.165,6556.37,3731.34
12.265,6556.37,3731.34
12.365,6556.37,3676.47
12.465,6556.37,3623.19
