     Depth,PVelocity,SVelocity
3.94,-999,-999
4.04,-999,-999
4.14,-999,-999
4.24,-999,-999
4.34,8392.16,3244.39
4.44,8392.16,3244.39
4.54,8392.16,3244.39
4.64,8392.16,3244.39
4.74,8392.16,3244.39
4.84,8392.16,3244.39
4.94,8392.16,3244.39
5.04,8392.16,3244.39
5.14,8069.38,3244.39
5.24,7404.84,3244.39
5.34,7152.41,3244.39
5.44,6695.87,3244.39
5.54,6695.87,3295.35
5.64,6488.78,3295.35
5.74,6488.78,3420.72
5.84,6488.78,3420.72
5.94,6488.78,3420.72
6.04,6695.87,3536.02
6.14,6695.87,3536.02
6.24,6695.87,3536.02
6.34,6488.78,3536.02
6.44,6488.78,3536.02
6.54,6488.78,3596.64
6.64,6488.78,3596.64
6.74,6488.78,3596.64
6.84,6488.78,3724.33
6.94,6488.78,3724.33
7.04,6488.78,3724.33
7.14,6488.78,3724.33
7.24,6488.78,3724.33
7.34,6695.87,3724.33
7.44,6695.87,3724.33
7.54,6695.87,3724.33
7.64,6695.87,3724.33
7.74,6695.87,3659.37
7.84,6695.87,3596.64
7.94,6695.87,3596.64
8.04,6695.87,3536.02
8.14,6916.61,3536.02
8.24,7152.41,3536.02
8.34,7152.41,3536.02
8.44,7152.41,3536.02
8.54,7404.84,3536.02
8.64,7404.84,3536.02
8.74,7404.84,3536.02
8.84,7404.84,3536.02
8.94,7404.84,3536.02
9.04,7675.75,3536.02
9.14,8069.38,3536.02
9.24,8069.38,3536.02
9.34,8069.38,3596.64
9.44,8069.38,3659.37
9.54,8069.38,3659.37
9.64,8069.38,3659.37
9.74,8069.38,3659.37
9.84,7675.75,3659.37
9.94,7675.75,3659.37
10.04,7675.75,3659.37
10.14,7675.75,3659.37
10.24,7675.75,3659.37
10.34,7675.75,3659.37
10.44,7675.75,3659.37
10.54,7675.75,3659.37
10.64,7152.41,3477.41
10.74,7152.41,3477.41
10.84,7152.41,3477.41
10.94,7152.41,3477.41
11.04,7152.41,3347.93
11.14,6916.61,3347.93
11.24,6916.61,3347.93
11.34,6916.61,3420.72
11.44,6916.61,3420.72
11.54,6695.87,3420.72
11.64,6695.87,3477.41
11.74,6695.87,3477.41
11.84,6695.87,3477.41
11.94,6695.87,3536.02
12.04,6695.87,3536.02
12.14,6695.87,3536.02
12.24,6695.87,3536.02
12.34,6695.87,3536.02
12.44,6695.87,3536.02
12.54,6695.87,3596.64
12.64,6916.61,3596.64
12.74,6916.61,3596.64
12.84,6916.61,3596.64
12.94,6916.61,3596.64
13.04,6916.61,3596.64
13.14,7404.84,3596.64
13.24,7404.84,3596.64
13.34,7404.84,3596.64
13.44,7404.84,3659.37
13.54,7404.84,3659.37
13.64,7404.84,3659.37
13.74,7404.84,3659.37
13.84,7404.84,3659.37
13.94,7404.84,3659.37
14.04,7404.84,3659.37
14.14,7404.84,3659.37
14.24,7404.84,3659.37
14.34,7675.75,3659.37
14.44,7675.75,3659.37
14.54,7675.75,3659.37
14.64,7675.75,3659.37
14.74,7675.75,3724.33
14.84,7675.75,3724.33
14.94,7152.41,3724.33
15.04,7152.41,3724.33
15.14,7152.41,3724.33
15.24,6916.61,3724.33
15.34,6916.61,3724.33
15.44,6695.87,3724.33
15.54,6488.78,3724.33
15.64,6488.78,3724.33
15.74,6488.78,3724.33
15.84,6488.78,3724.33
15.94,6488.78,3724.33
16.04,6488.78,3724.33
16.14,6488.78,3724.33
16.24,6488.78,3791.64
16.34,6488.78,3791.64
16.44,6488.78,3791.64
16.54,6488.78,3791.64
16.64,6695.87,3791.64
16.74,6695.87,3791.64
16.84,6695.87,3791.64
16.94,6695.87,3791.64
17.04,6695.87,3791.64
17.14,6695.87,3791.64
17.24,6695.87,3791.64
17.34,6695.87,3791.64
17.44,6695.87,3791.64
17.54,6695.87,3791.64
17.64,6695.87,3724.33
17.74,6695.87,3724.33
17.84,6695.87,3724.33
17.94,8069.38,3724.33
18.04,8069.38,3724.33
18.14,8069.38,3724.33
18.24,8069.38,3724.33
18.34,8069.38,3724.33
18.44,8069.38,3724.33
18.54,8069.38,3659.37
18.64,8069.38,3659.37
18.74,8069.38,3659.37
18.84,8069.38,3659.37
