index,depth,mean_SN_ratio,Fracture_Type,azimuth,dip
447,42.24,0.26777942509315383,2,172.71,44.25
835,63.4,0.2676029841726812,2,173.51,46.03
547,46.19,0.26749096808182315,2,220.77,43.29
501,43.87,0.26746450919534076,2,8.59,69.26
932,68.45,0.2674538388374742,2,183.07,42.83
806,60.62,0.26732747882121616,2,170.35,45.25
173,24.34,0.2673023363801103,2,18.96,67.62
269,34.35,0.2670906145173163,2,226.24,42.73
56,14.54,0.2670058798368624,2,213.46,38.61
482,43.28,0.2669330336461458,2,200.4,39.31
892,66.26,0.26687997847478045,2,2.07,70.32
418,40.83,0.26682124231646454,2,219.23,39.27
488,43.45,0.26679178603109227,2,203.19,37.65
987,70.49,0.26658903798519074,2,227.16,47.28
246,33.29,0.2665809741512918,2,230.1,45.38
485,43.35,0.26646923274697837,2,17.36,65.35
277,34.7,0.26644847554551593,2,191.39,41.64
55,14.48,0.2664160633187921,2,207.83,37.09
492,43.55,0.26638086644389075,2,186.32,43.16
85,17.36,0.26635244220366855,2,200.45,36.7
238,32.99,0.26623480564301355,2,230.2,44.15
31,10.3,0.26616448094316003,2,190.28,42.25
804,60.44,0.26611414151213286,1,180.86,45.46
503,43.95,0.26588053977239134,2,194.1,41.78
508,44.18,0.26587295584452036,2,25.82,65.06
410,40.47,0.26584335068958376,2,14.96,70.9
833,63.3,0.26575039140274204,2,200.57,41.41
783,58.54,0.2655636927960297,2,208.31,42.36
232,32.57,0.26548810743379797,2,230.68,43.11
865,64.92,0.2654697381394536,2,229.36,49.51
35,11.14,0.265385486131267,2,198.15,35.51
25,9.43,0.26536425912301403,1,192.02,42.65
82,16.78,0.26517714380837276,2,223.45,47.78
131,21.17,0.26509729855443553,2,193.88,42.55
528,45.16,0.26507407429942687,2,0.77,67.68
91,17.95,0.2650355147736671,2,0.49,74.48
184,26.31,0.2649187167475032,2,165.65,45.13
153,22.39,0.26486346261560745,2,5.74,65.38
860,64.65,0.26466767046951567,2,233.44,50.53
426,41.06,0.26466529206063977,2,359.15,68.27
765,56.05,0.2645728678950589,2,232.56,50.98
831,62.53,0.26452716908685464,2,189.55,35.14
781,58.51,0.2644933378284159,2,217.19,45.8
505,44.04,0.2644626734224345,2,14.58,72.07
514,44.41,0.26440087572075177,1,197.02,42.73
204,30.4,0.26433515145837067,2,358.33,68.5
650,50.76,0.26433482551256615,2,178.98,36.76
720,53.17,0.2642709417418658,2,355.35,71.86
317,36.72,0.2641256238066258,2,231.73,51.62
572,47.63,0.2640804812991335,2,18.14,63.13
179,25.14,0.2640601262594208,2,8.4,73.53
450,42.32,0.26386326342473265,1,32.41,73.59
45,11.72,0.2637885254915723,2,183.84,35.34
278,34.73,0.26371237242964557,2,205.01,43.34
314,36.6,0.2636576904818095,2,235.88,46.86
914,67.82,0.26339955692831524,2,232.79,52.58
674,51.99,0.26329983189813866,2,180.7,47.69
752,54.6,0.26320558992722753,2,22.16,62.61
867,65.02,0.26315520528376996,2,232.21,52.8
526,45.06,0.263034888005177,2,353.12,74.29
86,17.42,0.262914955870117,1,214.7,34.77
856,64.39,0.262899439243407,2,355.59,69.28
477,43.13,0.26280740745749104,2,180.41,35.38
